"dci"	"dcirenommer"	"relation"	"code"	"substances"	"validation"
"CHOLECALCIFEROL"		"hasform"	"85054"	"CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE"	"semiautomatique"
"CHOLECALCIFEROL"		"hasform"	"85054"	"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"	"semiautomatique"
"CIBENZOLINE"		"same"	"15911"	"CIBENZOLINE"	"automatique"
"CIBENZOLINE"		"hasform"	"27705"	"SUCCINATE DE CIBENZOLINE"	"semiautomatique"
"CIBENZOLINE"		"hasform"	"27705"	"CIBENZOLINE (SUCCINATE DE)"	"semiautomatique"
"CICLESONIDE"		"same"	"74522"	"CICLÉSONIDE"	"automatique"
"CICLETANINE"		"hasform"	"7289"	"CHLORHYDRATE DE CICLÉTANINE"	"semiautomatique"
"CICLETANINE"		"hasform"	"7289"	"CICLÉTANINE (CHLORHYDRATE DE)"	"semiautomatique"
"CICLOPIROX"		"same"	"95914"	"CICLOPIROX"	"automatique"
"CICLOPIROX"		"hasform"	"30911"	"CICLOPIROX OLAMINE"	"semiautomatique"
"CICLOSPORINE"		"same"	"26649"	"CICLOSPORINE"	"automatique"
"CIDOFOVIR"		"hasform"	"51900"	"CIDOFOVIR ANHYDRE"	"semiautomatique"
"CIDOFOVIR"		"hasform"	"72714"	"CIDOFOVIR DIHYDRATÉ"	"semiautomatique"
"CILAZAPRIL"		"same"	"76788"	"CILAZAPRIL"	"automatique"
"CILAZAPRIL"		"same"	"76788"	"CILAZAPRIL ANHYDRE"	"automatique"
"CILAZAPRIL"		"hasform"	"15755"	"CILAZAPRIL MONOHYDRATÉ"	"semiautomatique"
"CILOSTAZOL"		"same"	"72059"	"CILOSTAZOL"	"automatique"
"CIMETIDINE"		"same"	"587"	"CIMÉTIDINE"	"automatique"
"CIMETIDINE"		"hasform"	"5543"	"CHLORHYDRATE DE CIMÉTIDINE"	"semiautomatique"
"CIMETIDINE"		"hasform"	"5543"	"CIMÉTIDINE (CHLORHYDRATE DE)"	"semiautomatique"
"CINACALCET"		"same"	"81461"	"CINACALCET"	"automatique"
"CINACALCET"		"hasform"	"97362"	"CINACALCET (CHLORHYDRATE DE)"	"semiautomatique"
"CINACALCET"		"hasform"	"97362"	"CHLORHYDRATE DE CINACALCET"	"semiautomatique"
"CINEOLE"		"same"	"3666"	"EUCALYPTOL"	"automatique"
"CINEOLE"		"same"	"3666"	"CINEOL-1,8"	"automatique"
"CINEOLE"		"same"	"3666"	"CINÉOLE"	"automatique"
"CIPROFIBRATE"		"same"	"11650"	"CIPROFIBRATE"	"automatique"
"CIPROFLOXACINE"		"same"	"66431"	"CIPROFLOXACINE"	"automatique"
"CIPROFLOXACINE"		"hasform"	"65381"	"SULFATE DE CIPROFLOXACINE"	"semiautomatique"
"CIPROFLOXACINE"		"hasform"	"79482"	"CIPROFLOXACINE (CHLORHYDRATE DE) MONOHYDRATÉ"	"semiautomatique"
"CIPROFLOXACINE"		"hasform"	"76382"	"LACTATE DE CIPROFLOXACINE"	"semiautomatique"
"CIPROFLOXACINE"		"hasform"	"79482"	"CIPROFLOXACINE (CHLORHYDRATE DE)"	"semiautomatique"
"CIPROFLOXACINE"		"hasform"	"79482"	"CHLORHYDRATE DE CIPROFLOXACINE"	"semiautomatique"
"CISAPRIDE"		"hasform"	"7846"	"CISAPRIDE MONOHYDRATÉ"	"semiautomatique"
"CISAPRIDE"		"hasform"	"7846"	"CISAPRIDE (MONOHYDRATE DE)"	"semiautomatique"
"CISAPRIDE"		"hasform"	"7846"	"MONOHYDRATE DE CISAPRIDE"	"semiautomatique"
"CISAPRIDE"		"hasform"	"15205"	"CISAPRIDE ANHYDRE"	"semiautomatique"
"CISATRACURIUM"		"same"	"53028"	"CISATRACURIUM"	"automatique"
"CISATRACURIUM"		"hasform"	"62835"	"BÉSILATE DE CISATRACURIUM"	"semiautomatique"
"CISPLATINE"		"same"	"873"	"CISPLATINE"	"automatique"
"CITALOPRAM"		"same"	"57088"	"CITALOPRAM"	"automatique"
"CITALOPRAM"		"same"	"57088"	"CITALOPRAM BASE"	"automatique"
"CITALOPRAM"		"hasform"	"29250"	"BROMHYDRATE DE CITALOPRAM"	"semiautomatique"
"CITALOPRAM"		"hasform"	"29250"	"CITALOPRAM (BROMHYDRATE DE)"	"semiautomatique"
"CITALOPRAM"		"hasform"	"54506"	"CHLORHYDRATE DE CITALOPRAM"	"semiautomatique"
"CITRATE DE GALLIUM [67GA]"		"same"	"44025"	"CITRATE DE GALLIUM [67GA]"	"semiautomatique"
"CLADRIBINE"		"same"	"97330"	"CLADRIBINE"	"automatique"
"CLARITHROMYCINE"		"same"	"24563"	"CLARITHROMYCINE"	"automatique"
"CLEVIDIPINE"		"same"	"39398"	"CLÉVIDIPINE"	"automatique"
"CLIDINIUM"		"hasform"	"912"	"CLIDINIUM (BROMURE DE)"	"semiautomatique"
"CLINDAMYCINE"		"same"	"48296"	"CLINDAMYCINE BASE"	"automatique"
"CLINDAMYCINE"		"same"	"48296"	"CLINDAMYCINE"	"automatique"
"CLINDAMYCINE"		"hasform"	"2963"	"CHLORHYDRATE DE CLINDAMYCINE"	"semiautomatique"
"CLINDAMYCINE"		"hasform"	"917"	"PHOSPHATE DE CLINDAMYCINE"	"semiautomatique"
"CLINDAMYCINE"		"hasform"	"917"	"CLINDAMYCINE (PHOSPHATE DE)"	"semiautomatique"
"CLINDAMYCINE"		"hasform"	"97838"	"CLINDAMYCINE (CHLORHYDRATE DE) HYDRATÉ"	"semiautomatique"
"CLOBAZAM"		"same"	"461"	"CLOBAZAM"	"automatique"
"CLOCINIZINE"		"hasform"	"1472"	"CHLORHYDRATE DE CLOCINIZINE"	"semiautomatique"
"CLOCINIZINE"		"hasform"	"1472"	"CHLOCINIZINE (DICHLORHYDRATE DE)"	"semiautomatique"
"CLOFARABINE"		"same"	"94880"	"CLOFARABINE"	"automatique"
"CLOFIBRATE"		"same"	"1484"	"CLOFIBRATE"	"automatique"
"CLOMIPRAMINE"		"hasform"	"1493"	"CLOMIPRAMINE (CHLORHYDRATE DE)"	"semiautomatique"
"CLOMIPRAMINE"		"hasform"	"1493"	"CHLORHYDRATE DE CLOMIPRAMINE"	"semiautomatique"
"CLONAZEPAM"		"same"	"463"	"CLONAZÉPAM"	"automatique"
"CLONIDINE"		"hasform"	"464"	"CLONIDINE (CHLORHYDRATE DE)"	"semiautomatique"
"CLOPAMIDE"		"same"	"1498"	"CLOPAMIDE"	"automatique"
"CLOPIDOGREL"		"same"	"54693"	"CLOPIDOGREL"	"automatique"
"CLOPIDOGREL"		"same"	"54693"	"CLOPIDOGREL BASE"	"automatique"
"CLOPIDOGREL"		"hasform"	"22203"	"CLOPIDOGREL (CHLORHYDRATE DE)"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"22203"	"CHLORHYDRATE DE CLOPIDOGREL"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"52920"	"HYDROGÉNOSULFATE DE CLOPIDOGREL"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"52920"	"BISULFATE DE CLOPIDOGREL"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"52920"	"CLOPIDOGREL (HYDROGÉNOSULFATE DE)"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"41909"	"BÉSILATE DE CLOPIDOGREL"	"semiautomatique"
"CLOPIDOGREL"		"hasform"	"54904"	"BROMHYDRATE DE CLOPIDOGREL MONOHYDRATÉ"	"semiautomatique"
"CLORAZEPATE"		"hasform"	"1507"	"CLORAZÉPATE DIPOTASSIQUE"	"semiautomatique"
"CLOTIAZEPAM"		"same"	"20441"	"CLOTIAZÉPAM"	"automatique"
"CLOXACILLINE"		"same"	"13835"	"CLOXACILLINE"	"automatique"
"CLOXACILLINE"		"hasform"	"1362"	"CLOXACILLINE SODIQUE MONOHYDRATÉE"	"semiautomatique"
"CLOZAPINE"		"same"	"74798"	"CLOZAPINE"	"automatique"
"COBICISTAT"		"same"	"56996"	"COBICISTAT"	"automatique"
"CODEINE"		"same"	"467"	"CODÉINE"	"automatique"
"CODEINE"		"hasform"	"25936"	"PHOSPHATE DE CODÉINE ANHYDRE"	"semiautomatique"
"CODEINE"		"hasform"	"4815"	"CODÉINE (CHLORHYDRATE DE)"	"semiautomatique"
"CODEINE"		"hasform"	"3782"	"CAMPHOSULFONATE DE CODÉINE"	"semiautomatique"
"CODEINE"		"hasform"	"3782"	"CAMSILATE DE CODÉINE"	"semiautomatique"
"CODEINE"		"hasform"	"3782"	"CODÉINE (CAMSILATE DE)"	"semiautomatique"
"CODEINE"		"hasform"	"468"	"CODÉINE (PHOSPHATE DE) SESQUIHYDRATÉ"	"semiautomatique"
"CODEINE"		"hasform"	"74765"	"CODÉINE (PHOSPHATE DE)"	"semiautomatique"
"CODEINE"		"hasform"	"98173"	"CODÉINE (RÉSINATE DE)"	"semiautomatique"
"CODEINE"		"hasform"	"74765"	"CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ"	"semiautomatique"
"CODEINE"		"hasform"	"74765"	"PHOSPHATE DE CODÉINE HÉMIHYDRATÉ"	"semiautomatique"
"COLCHICINE"		"same"	"469"	"COLCHICINE"	"automatique"
"COLESEVELAM"		"hasform"	"50447"	"COLÉSÉVÉLAM (CHLORHYDRATE DE)"	"semiautomatique"
"COLESTYRAMINE"		"same"	"1526"	"COLESTYRAMINE"	"automatique"
"COLISTINE"		"hasform"	"4823"	"SULFATE DE COLISTINE"	"semiautomatique"
"CONSOMMATION D'ALCOOL"		"same"	"35"	"ALCOOL"	"semiautomatique"
"CONSOMMATION D'ALCOOL"		"same"	"35"	"ÉTHANOL À 96 POUR CENT"	"semiautomatique"
"CORTISONE"		"hasform"	"5409"	"ACÉTATE DE CORTISONE"	"semiautomatique"
"CORTIVAZOL"		"same"	"471"	"CORTIVAZOL"	"automatique"
"CRIZOTINIB"		"same"	"46435"	"CRIZOTINIB"	"automatique"
"CYAMEMAZINE"		"same"	"8846"	"CYAMÉMAZINE BASE"	"automatique"
"CYAMEMAZINE"		"same"	"8846"	"CYAMÉMAZINE"	"automatique"
"CYAMEMAZINE"		"hasform"	"5760"	"CYAMÉMAZINE (TARTRATE DE)"	"semiautomatique"
"CYANOCOBALAMINE"		"same"	"1539"	"CYANOCOBALAMINE"	"automatique"
"CYANOCOBALAMINE"		"same"	"1539"	"VITAMINE B12"	"automatique"
"CYANOCOBALAMINE"		"hasform"	"22380"	"CYANOCOBALAMINE (57CO)"	"semiautomatique"
"CYCLIZINE"		"hasform"	"1547"	"CHLORHYDRATE DE CYCLIZINE"	"semiautomatique"
"CYCLOPENTOLATE"		"hasform"	"5777"	"CYCLOPENTOLATE (CHLORHYDRATE DE)"	"semiautomatique"
"CYCLOPHOSPHAMIDE"		"same"	"1556"	"CYCLOPHOSPHAMIDE"	"automatique"
"CYCLOPHOSPHAMIDE"		"same"	"1556"	"CYCLOPHOSPHAMIDE MONOHYDRATÉ"	"automatique"
"CYCLOPHOSPHAMIDE"		"hasform"	"77405"	"CYCLOPHOSPHAMIDE ANHYDRE"	"semiautomatique"
"CYCLOTHIAZIDE"		"same"	"1561"	"CYCLOTHIAZIDE"	"automatique"
"CYPROHEPTADINE"		"same"	"32109"	"CYPROHEPTADINE"	"automatique"
"CYPROHEPTADINE"		"hasform"	"3197"	"CHLORHYDRATE DE CYPROHEPTADINE"	"semiautomatique"
"CYPROTERONE"		"hasform"	"987"	"ACÉTATE DE CYPROTÉRONE"	"semiautomatique"
"CYPROTERONE"		"hasform"	"987"	"CYPROTÉRONE (ACÉTATE DE)"	"semiautomatique"
"CYTARABINE"		"same"	"1574"	"CYTARABINE"	"automatique"
"DABIGATRAN"		"hasform"	"82447"	"DABIGATRAN ÉTEXILATE BASE"	"semiautomatique"
"DABIGATRAN"		"hasform"	"83321"	"DABIGATRAN ÉTEXILATE (MÉSILATE DE)"	"semiautomatique"
"DABRAFENIB"		"same"	"44109"	"DABRAFÉNIB"	"automatique"
"DABRAFENIB"		"hasform"	"95704"	"MÉSILATE DE DABRAFÉNIB"	"semiautomatique"
"DACARBAZINE"		"same"	"141"	"DACARBAZINE"	"automatique"
"DACARBAZINE"		"hasform"	"35048"	"CITRATE DE DACARBAZINE"	"semiautomatique"
"DACLATASVIR"		"same"	"77015"	"DACLATASVIR"	"automatique"
"DACLATASVIR"		"hasform"	"35345"	"DICHLORHYDRATE DE DACLATASVIR"	"semiautomatique"
"DACTINOMYCINE"		"same"	"43031"	"DACTINOMYCINE"	"automatique"
"DALFOPRISTINE"		"same"	"89443"	"DALFOPRISTINE BASE"	"semiautomatique"
"DALFOPRISTINE"		"hasform"	"45221"	"MÉSILATE DE DALFOPRISTINE"	"semiautomatique"
"DALTEPARINE SODIQUE"		"same"	"62595"	"DALTÉPARINE SODIQUE "	"automatique"
"DANAPAROIDE SODIQUE"		"same"	"70130"	"DANAPAROÏDE SODIQUE "	"automatique"
"DANAZOL"		"same"	"945"	"DANAZOL"	"automatique"
"DANTROLENE"		"hasform"	"836"	"DANTROLÈNE SODIQUE"	"semiautomatique"
"DAPOXETINE"		"same"	"27287"	"DAPOXÉTINE"	"automatique"
"DAPOXETINE"		"hasform"	"83503"	"CHLORHYDRATE DE DAPOXÉTINE"	"semiautomatique"
"DAPSONE"		"same"	"5525"	"DAPSONE"	"automatique"
"DAPTOMYCINE"		"same"	"46167"	"DAPTOMYCINE"	"automatique"
"DARIFENACINE"		"same"	"59568"	"DARIFÉNACINE"	"automatique"
"DARIFENACINE"		"hasform"	"38015"	"BROMHYDRATE DE DARIFÉNACINE"	"semiautomatique"
"DARUNAVIR"		"same"	"28847"	"DARUNAVIR"	"automatique"
"DARUNAVIR"		"hasform"	"39005"	"ÉTHANOLATE DE DARUNAVIR"	"semiautomatique"
"DASABUVIR"		"same"	"44781"	"DASABUVIR"	"automatique"
"DASABUVIR"		"hasform"	"47615"	"DASABUVIR SODIQUE MONOHYDRATÉ"	"semiautomatique"
"DASATINIB"		"hasform"	"19755"	"DASATINIB MONOHYDRATÉ"	"semiautomatique"
"DAUNORUBICINE"		"same"	"54643"	"DAUNORUBICINE"	"automatique"
"DAUNORUBICINE"		"hasform"	"1578"	"CHLORHYDRATE DE DAUNORUBICINE"	"semiautomatique"
"DAUNORUBICINE"		"hasform"	"1578"	"DAUNORUBICINE (CHLORHYDRATE DE)"	"semiautomatique"
"DECITABINE"		"same"	"54962"	"DÉCITABINE"	"automatique"
"DEFERASIROX"		"same"	"87487"	"DÉFÉRASIROX"	"automatique"
"DEFERIPRONE"		"same"	"95296"	"DÉFÉRIPRONE"	"automatique"
"DEFEROXAMINE"		"hasform"	"1584"	"MÉSILATE DE DÉFÉROXAMINE"	"semiautomatique"
"DEFIBROTIDE"		"same"	"68391"	"DÉFIBROTIDE "	"automatique"
"DELAMANID"		"same"	"43009"	"DÉLAMANID"	"automatique"
"DEMECLOCYCLINE"		"same"	"70512"	"DÉMÉCLOCYCLINE BASE"	"semiautomatique"
"DEMECLOCYCLINE"		"hasform"	"1593"	"CHLORHYDRATE DE DÉMÉCLOCYCLINE"	"semiautomatique"
"DESFLURANE"		"same"	"72602"	"DESFLURANE"	"automatique"
"DESIPRAMINE"		"hasform"	"3306"	"DÉSIPRAMINE (CHLORHYDRATE DE)"	"semiautomatique"
"DESIRUDINE"		"same"	"67433"	"DÉSIRUDINE "	"automatique"
"DESLANOSIDE"		"same"	"1602"	"DESLANOSIDE"	"automatique"
"DESMOPRESSINE"		"same"	"45293"	"DESMOPRESSINE"	"automatique"
"DESMOPRESSINE"		"hasform"	"13582"	"ACÉTATE DE DESMOPRESSINE TRIHYDRATÉ"	"semiautomatique"
"DESMOPRESSINE"		"hasform"	"13582"	"DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ"	"semiautomatique"
"DESOGESTREL"		"same"	"27380"	"DÉSOGESTREL"	"automatique"
"DESOXYCORTONE"		"hasform"	"482"	"ACÉTATE DE DÉSOXYCORTONE"	"semiautomatique"
"DEXAMETHASONE"		"same"	"1608"	"DEXAMÉTHASONE"	"automatique"
"DEXAMETHASONE"		"hasform"	"3675"	"PHOSPHATE SODIQUE DE DEXAMÉTHASONE"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"4429"	"DEXAMÉTHASONE (MÉTASULFOBENZOATE SODIQUE DE)"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"3673"	"ACÉTATE DE DEXAMÉTHASONE"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"3675"	"DEXAMÉTHASONE (PHOSPHATE SODIQUE DE)"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"73377"	"DEXAMÉTHASONE (PHOSPHATE DE)"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"73377"	"DEXAMÉTHASONE PHOSPHATE"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"73377"	"PHOSPHATE DE DEXAMÉTHASONE"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"73377"	"DEXAMÉTHASONE PHOSPHATE ACIDE ANHYDRE"	"semiautomatique"
"DEXAMETHASONE"		"hasform"	"73377"	"ESTER MONOPHOSPHORIQUE ACIDE ANHYDRE DE DEXAMÉTHASONE"	"semiautomatique"
"DEXCHLORPHENIRAMINE"		"hasform"	"3218"	"MALÉATE DE DEXCHLORPHÉNIRAMINE"	"semiautomatique"
"DEXKETOPROFENE TROMETAMOL"		"same"	"93236"	"DEXKÉTOPROFÈNE TROMÉTAMOL"	"automatique"
"DEXKETOPROFENE TROMETAMOL"		"hasform"	"30646"	"DEXKÉTOPROFÈNE"	"semiautomatique"
"DEXLANSOPRAZOLE"		"same"	"62600"	"DEXLANSOPRAZOLE"	"automatique"
"DEXMEDETOMIDINE"		"same"	"76710"	"DEXMÉDÉTOMIDINE"	"automatique"
"DEXMEDETOMIDINE"		"hasform"	"63187"	"CHLORHYDRATE DE DEXMÉDÉTOMIDINE"	"semiautomatique"
"DEXRAZOXANE"		"same"	"31269"	"DEXRAZOXANE"	"automatique"
"DEXRAZOXANE"		"hasform"	"44152"	"CHLORHYDRATE DE DEXRAZOXANE"	"semiautomatique"
"DEXTRAN"		"same"	"6625"	"DEXTRAN"	"automatique"
"DEXTRAN"		"hasform"	"17426"	"DEXTRAN 70"	"semiautomatique"
"DEXTRAN"		"hasform"	"23779"	"DEXTRAN 60"	"semiautomatique"
"DEXTRAN"		"hasform"	"2968"	"DEXTRAN 40"	"semiautomatique"
"DEXTRAN"		"hasform"	"4328"	"DEXTRAN (SULFATE DE)"	"semiautomatique"
"DEXTROMETHORPHANE"		"same"	"73427"	"DEXTROMÉTHORPHANE BASE"	"automatique"
"DEXTROMETHORPHANE"		"same"	"73427"	"DEXTROMÉTHORPHANE"	"automatique"
"DEXTROMETHORPHANE"		"hasform"	"3229"	"BROMHYDRATE DE DEXTROMÉTHORPHANE MONOHYDRATÉ"	"semiautomatique"
"DEXTROMETHORPHANE"		"hasform"	"3229"	"BROMHYDRATE DE DEXTROMÉTHORPHANE"	"semiautomatique"
"DEXTROMETHORPHANE"		"hasform"	"3229"	"DEXTROMÉTHORPHANE (BROMHYDRATE DE)"	"semiautomatique"
"DEXTROMORAMIDE"		"same"	"10795"	"DEXTROMORAMIDE"	"automatique"
"DEXTROMORAMIDE"		"hasform"	"3227"	"TARTRATE DE DEXTROMORAMIDE"	"semiautomatique"
"DEXTROPROPOXYPHENE"		"same"	"1625"	"DEXTROPROPOXYPHÈNE"	"automatique"
"DEXTROPROPOXYPHENE"		"hasform"	"3570"	"CHLORHYDRATE DE DEXTROPROPOXYPHÈNE"	"semiautomatique"
"DI(ACEFYLLINE) DIPHENHYDRAMINE"		"same"	"4906"	"DI(ACÉFYLLINE) DIPHÉNHYDRAMINE"	"semiautomatique"
"DIAZEPAM"		"same"	"1637"	"DIAZÉPAM"	"automatique"
"DICITRATE TRIMAGNESIEN"	"citrate de magnesium"	"same"	"30514"	"MAGNÉSIUM (CITRATE DE)"	"manuelle"
"DICITRATE TRIMAGNESIEN"	"citrate de magnesium"	"same"	"30514"	"CITRATE DE MAGNÉSIUM"	"manuelle"
"DICITRATE TRIMAGNESIEN"	"citrate de magnesium"	"hasform"	"4414"	"MAGNÉSIUM (CITRATE DE) ANHYDRE"	"semiautomatique"
"DICLOFENAC"		"same"	"36592"	"DICLOFÉNAC"	"automatique"
"DICLOFENAC"		"hasform"	"22364"	"DICLOFÉNAC DE DIÉTHYLAMINE"	"semiautomatique"
"DICLOFENAC"		"hasform"	"22364"	"DICLOFÉNAC (SEL DE DIÉTHYLAMMONIUM)"	"semiautomatique"
"DICLOFENAC"		"hasform"	"48613"	"DICLOFÉNAC POTASSIQUE"	"semiautomatique"
"DICLOFENAC"		"hasform"	"37"	"DICLOFÉNAC SODIQUE"	"semiautomatique"
"DICLOFENAC"		"hasform"	"99970"	"DICLOFÉNAC (ÉPOLAMINE DE)"	"semiautomatique"
"DICLOFENAC"		"hasform"	"99970"	"ÉPOLAMINE DE DICLOFÉNAC"	"semiautomatique"
"DICLOXACILLINE"		"same"	"28223"	"DICLOXACILLINE"	"automatique"
"DICLOXACILLINE"		"hasform"	"1655"	"DICLOXACILLINE SODIQUE"	"semiautomatique"
"DIDANOSINE"		"same"	"10627"	"DIDANOSINE"	"automatique"
"DIENOGEST"		"same"	"49665"	"DIÉNOGEST"	"automatique"
"DIETHYLSTILBESTROL"		"same"	"1663"	"DIÉTHYLSTILBESTROL"	"automatique"
"DIGITOXINE"		"same"	"1671"	"DIGITOXINE"	"automatique"
"DIGOXINE"		"same"	"1672"	"DIGOXINE"	"automatique"
"DIHEXYVERINE"		"hasform"	"1673"	"CHLORHYDRATE DE DIHEXYVÉRINE"	"semiautomatique"
"DIHYDRALAZINE"		"hasform"	"1674"	"SULFATE DE DIHYDRALAZINE"	"semiautomatique"
"DIHYDRALAZINE"		"same"	"88236"	"DIHYDRALAZINE"	"automatique"
"DIHYDRALAZINE"		"hasform"	"1674"	"DIHYDRALAZINE (SULFATE DE)"	"semiautomatique"
"DIHYDRALAZINE"		"hasform"	"1674"	"DIHYDRALAZINE (SULFATE DE) HYDRATÉ"	"semiautomatique"
"DIHYDRALAZINE"		"hasform"	"94174"	"MÉSILATE DE DIHYDRALAZINE"	"semiautomatique"
"DIHYDROCODEINE"		"same"	"99154"	"DIHYDROCODÉINE"	"automatique"
"DIHYDROCODEINE"		"hasform"	"6987"	"DIHYDROCODÉINE (TARTRATE DE)"	"semiautomatique"
"DIHYDROERGOTAMINE"		"same"	"81034"	"DIHYDROERGOTAMINE BASE"	"semiautomatique"
"DIHYDROERGOTAMINE"		"hasform"	"3790"	"DIHYDROERGOTAMINE (MÉSILATE DE)"	"semiautomatique"
"DIHYDROERGOTAMINE"		"hasform"	"3790"	"MÉSILATE DE DIHYDROERGOTAMINE"	"semiautomatique"
"DILTIAZEM"		"hasform"	"915"	"CHLORHYDRATE DE DILTIAZEM"	"semiautomatique"
"DILTIAZEM"		"hasform"	"915"	"DILTIAZEM (CHLORHYDRATE DE)"	"semiautomatique"
"DIMENHYDRINATE"		"same"	"1691"	"DIMENHYDRINATE"	"automatique"
"DINITRATE D'ISOSORBIDE"		"same"	"4979"	"ISOSORBIDE (DINITRATE D')"	"automatique"
"DINITRATE D'ISOSORBIDE"		"same"	"4979"	"DINITRATE D'ISOSORBIDE"	"automatique"
"DINITRATE D'ISOSORBIDE"		"hasform"	"28348"	"SOLUTION DE DINITRATE D'ISOSORBIDE"	"semiautomatique"
"DINITRATE D'ISOSORBIDE"		"hasform"	"28348"	"ISOSORBIDE (DINITRATE D') (SOLUTION DE)"	"semiautomatique"
"DIOSMECTITE"		"same"	"9414"	"DIOSMECTITE"	"automatique"
"DIPHEMANIL"		"hasform"	"3219"	"DIPHÉMANIL (MÉTHYLSULFATE DE)"	"semiautomatique"
"DIPHENHYDRAMINE"		"hasform"	"2678"	"DIPHÉNHYDRAMINE (CHLORHYDRATE DE)"	"semiautomatique"
"DIPHENHYDRAMINE"		"hasform"	"2678"	"CHLORHYDRATE DE DIPHÉNHYDRAMINE"	"semiautomatique"
"DIPROPHYLLINE"		"same"	"1738"	"DIPROPHYLLINE"	"automatique"
"DIPYRIDAMOLE"		"same"	"1743"	"DIPYRIDAMOLE"	"automatique"
"DIRITHROMYCINE"		"same"	"56923"	"DIRITHROMYCINE"	"automatique"
"DISOPYRAMIDE"		"same"	"1745"	"DISOPYRAMIDE"	"automatique"
"DISOPYRAMIDE"		"hasform"	"604"	"PHOSPHATE DE DISOPYRAMIDE"	"semiautomatique"
"DISOPYRAMIDE"		"hasform"	"604"	"DISOPYRAMIDE (PHOSPHATE DE)"	"semiautomatique"
"DISULFIRAME"		"same"	"1747"	"DISULFIRAME"	"automatique"
"DOCETAXEL"		"same"	"38643"	"DOCÉTAXEL"	"automatique"
"DOCETAXEL"		"same"	"38643"	"DOCÉTAXEL ANHYDRE"	"automatique"
"DOCETAXEL"		"hasform"	"5376"	"DOCÉTAXEL TRIHYDRATÉ"	"semiautomatique"
"DOLASETRON"		"same"	"56406"	"DOLASETRON BASE"	"semiautomatique"
"DOLASETRON"		"hasform"	"93332"	"DOLASÉTRON MÉSILATE MONOHYDRATÉ"	"semiautomatique"
"DOLUTEGRAVIR"		"same"	"68669"	"DOLUTÉGRAVIR"	"automatique"
"DOLUTEGRAVIR"		"hasform"	"41060"	"DOLUTÉGRAVIR SODIQUE"	"semiautomatique"
"DOMPERIDONE"		"same"	"984"	"DOMPÉRIDONE"	"automatique"
"DONEPEZIL"		"same"	"70320"	"DONÉPÉZIL BASE"	"automatique"
"DONEPEZIL"		"same"	"70320"	"DONÉPÉZIL"	"automatique"
"DONEPEZIL"		"hasform"	"33803"	"CHLORHYDRATE DE DONÉPÉZIL"	"semiautomatique"
"DONEPEZIL"		"hasform"	"33803"	"DONÉPÉZIL (CHLORHYDRATE DE)"	"semiautomatique"
"DONEPEZIL"		"hasform"	"67154"	"CHLORHYDRATE DE DONÉPÉZIL MONOHYDRATÉ"	"semiautomatique"
"DONEPEZIL"		"hasform"	"67154"	"DONÉPÉZIL (CHLORHYDRATE DE) MONOHYDRATÉ"	"semiautomatique"
"DOPAMINE"		"hasform"	"5249"	"CHLORHYDRATE DE DOPAMINE"	"semiautomatique"
"DOPAMINE"		"hasform"	"5249"	"DOPAMINE (CHLORHYDRATE DE)"	"semiautomatique"
"DORIPENEM"		"same"	"25648"	"DORIPÉNEM"	"automatique"
"DORIPENEM"		"hasform"	"38150"	"DORIPÉNEM MONOHYDRATÉ"	"semiautomatique"
"DOSULEPINE"		"hasform"	"87"	"DOSULÉPINE (CHLORHYDRATE DE)"	"semiautomatique"
"DOXAZOSINE"		"same"	"55340"	"DOXAZOSINE"	"automatique"
"DOXAZOSINE"		"hasform"	"9301"	"DOXAZOSINE (MÉSILATE DE)"	"semiautomatique"
"DOXAZOSINE"		"hasform"	"9301"	"MÉSILATE DE DOXAZOSINE"	"semiautomatique"
"DOXEPINE"		"same"	"19558"	"DOXÉPINE"	"automatique"
"DOXEPINE"		"hasform"	"1755"	"DOXÉPINE (CHLORHYDRATE DE)"	"semiautomatique"
"DOXORUBICINE"		"hasform"	"3236"	"DOXORUBICINE (CHLORHYDRATE DE)"	"semiautomatique"
"DOXORUBICINE"		"hasform"	"3236"	"CHLORHYDRATE DE DOXORUBICINE"	"semiautomatique"
"DOXYCYCLINE"		"same"	"28372"	"DOXYCYCLINE BASE"	"automatique"
"DOXYCYCLINE"		"same"	"28372"	"DOXYCYCLINE ANHYDRE"	"automatique"
"DOXYCYCLINE"		"same"	"28372"	"DOXYCYCLINE"	"automatique"
