"CUI"	"synonymes"	"synonymes"
"C0028833"	"octreotide"	"octreotide"
"C0028833"	"octreotide (substance)"	"octreotide substance "
"C0028833"	"octreotide [chemical/ingredient]"	"octreotide chemical ingredient "
"C0028833"	"octreotide preparation"	"octreotide preparation"
"C0028833"	"octreotide preparation (product)"	"octreotide preparation product "
"C0028833"	"octreotide preparation (substance)"	"octreotide preparation substance "
"C1832027"	"ofatumumab"	"ofatumumab"
"C1832027"	"ofatumumab (product)"	"ofatumumab product "
"C1832027"	"ofatumumab (substance)"	"ofatumumab substance "
"C1832027"	"chemotherapeutics ofatumumab"	"chemotherapeutics ofatumumab"
"C1832027"	"ofatumumab (medication)"	"ofatumumab medication "
"C0028902"	"(+/-)-9-fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7- -oxo-7h-pyrido(1,2,3-de)- -1,4-benzoxazine-6-carboxylic acid"	"+ 9 fluoro 2 3 dihydro 3 methyl 10 4 methyl 1 piperazinyl 7 oxo 7h pyrido 1 2 3 de 1 4 benzoxazine 6 carboxylic acid"
"C0028902"	"9-fluoro-2,3-dihydro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-7h-pyrido(1,2,3-de)(1,4)benzoxazine-6-carboxylic acid, dl-"	"9 fluoro 2 3 dihydro 3 methyl 10 4 methyl 1 piperazinyl 7 oxo 7h pyrido 1 2 3 de 1 4 benzoxazine 6 carboxylic acid dl "
"C0028902"	"ofloxacin"	"ofloxacin"
"C0028902"	"ofloxacin (product)"	"ofloxacin product "
"C0028902"	"ofloxacin (substance)"	"ofloxacin substance "
"C0028902"	"ofloxacin [chemical/ingredient]"	"ofloxacin chemical ingredient "
"C0028902"	"ofloxacin [eye]"	"ofloxacin eye "
"C0028902"	"ofloxacin [eye] (product)"	"ofloxacin eye product "
"C0028902"	"ofloxacin [eye] (substance)"	"ofloxacin eye substance "
"C0028902"	"ofloxacine"	"ofloxacine"
"C0028902"	"ofloxacin (medication)"	"ofloxacin medication "
"C0171023"	"2-methyl-4-(4-methyl-1-piperazinyl)-10h-thieno(2,3-b)(1,5)benzodiazepine"	"2 methyl 4 4 methyl 1 piperazinyl 10h thieno 2 3 b 1 5 benzodiazepine"
"C0171023"	"olanzapine"	"olanzapine"
"C0171023"	"olanzapine (product)"	"olanzapine product "
"C0171023"	"olanzapine (substance)"	"olanzapine substance "
"C0171023"	"olanzapine (zyprexa)"	"olanzapine zyprexa "
"C0171023"	"olanzapine (medication)"	"olanzapine medication "
"C0171023"	"olanzapine [chemical/ingredient]"	"olanzapine chemical ingredient "
"C1098320"	"4-(hydroxy-1-methylethyl)-2-propyl-1-((2'-(1h-tetrazol-5-yl)-1,1'-biphenyl-4-yl)methyl)-1h-imidazole-5-carboxylic acid"	"4 hydroxy 1 methylethyl 2 propyl 1 2 1h tetrazol 5 yl 1 1 biphenyl 4 yl methyl 1h imidazole 5 carboxylic acid"
"C1098320"	"olmesartan"	"olmesartan"
"C1098320"	"olmesartan (product)"	"olmesartan product "
"C1098320"	"olmesartan (substance)"	"olmesartan substance "
"C1098320"	"aii blockers olmesartan"	"aii blockers olmesartan"
"C1098320"	"olmesartan (medication)"	"olmesartan medication "
"C1098320"	"olmesartan [chemical/ingredient]"	"olmesartan chemical ingredient "
"C1098320"	"omesartan"	"omesartan"
"C0069454"	"3,3'-azobis[6-hydroxybenzoic acid]"	"3 3 azobis 6 hydroxybenzoic acid "
"C0069454"	"3,3'-dicarboxy-4,4'-dihydroxyazobenzene"	"3 3 dicarboxy 4 4 dihydroxyazobenzene"
"C0069454"	"azodisalicylate"	"azodisalicylate"
"C0069454"	"azodisalicylic acid"	"azodisalicylic acid"
"C0069454"	"benzoic acid, 3,3'-azobis(6-hydroxy)-,"	"benzoic acid 3 3 azobis 6 hydroxy "
"C0069454"	"c.i. mordant yellow 5"	"c i mordant yellow 5"
"C0069454"	"olsalazine"	"olsalazine"
"C0069454"	"olsalazine (product)"	"olsalazine product "
"C0069454"	"olsalazine (substance)"	"olsalazine substance "
"C0069454"	"olsalazine product"	"olsalazine product"
"C0069454"	"olsalazine product (substance)"	"olsalazine product substance "
"C0069454"	"olsalazine [chemical/ingredient]"	"olsalazine chemical ingredient "
"C3852670"	"ombitasvir"	"ombitasvir"
"C3852670"	"ombitasvir (product)"	"ombitasvir product "
"C3852670"	"ombitasvir (substance)"	"ombitasvir substance "
"C0028978"	"1h-benzimidazole, 5-methoxy-2-(((4-methoxy-3,5-dimethyl-2-pyridinyl)methyl)sulfinyl)-"	"1h benzimidazole 5 methoxy 2 4 methoxy 3 5 dimethyl 2 pyridinyl methyl sulfinyl "
"C0028978"	"5-methoxy-2-(((4-methoxy-3,5-dimethyl-2-pyridinyl)methyl)sulfinyl)-1h-benzimidazole"	"5 methoxy 2 4 methoxy 3 5 dimethyl 2 pyridinyl methyl sulfinyl 1h benzimidazole"
"C0028978"	"omep"	"omep"
"C0028978"	"omeprazole"	"omeprazole"
"C0028978"	"omeprazole (product)"	"omeprazole product "
"C0028978"	"omeprazole (substance)"	"omeprazole substance "
"C0028978"	"omeprazole [chemical/ingredient]"	"omeprazole chemical ingredient "
"C0028978"	"omeprazole (medication)"	"omeprazole medication "
"C0028978"	"omeprazole product"	"omeprazole product"
"C0029105"	"1-piperazineethanol, 4-(3-(5h-dibenz(b,f)azepin-5-yl)propyl)-"	"1 piperazineethanol 4 3 5h dibenz b f azepin 5 yl propyl "
"C0029105"	"opipramol"	"opipramol"
"C0029105"	"opipramol [chemical/ingredient]"	"opipramol chemical ingredient "
"C0029274"	"1h-imidazole-1-ethanol, alpha-(chloromethyl)-2-methyl-5-nitro-"	"1h imidazole 1 ethanol alpha chloromethyl 2 methyl 5 nitro "
"C0029274"	"ornidazole"	"ornidazole"
"C0029274"	"ornidazole (product)"	"ornidazole product "
"C0029274"	"ornidazole (substance)"	"ornidazole substance "
"C0029274"	"ornidazole [chemical/ingredient]"	"ornidazole chemical ingredient "
"C0030032"	"1,3,5-triazine-2-carboxylic acid, 1,4,5,6-tetrahydro-4,6-dioxo-"	"1 3 5 triazine 2 carboxylic acid 1 4 5 6 tetrahydro 4 6 dioxo "
"C0030032"	"oteracil"	"oteracil"
"C0030032"	"oteracil (substance)"	"oteracil substance "
"C0030032"	"oxonic acid"	"oxonic acid"
"C0030032"	"oxonic acid [chemical/ingredient]"	"oxonic acid chemical ingredient "
"C0029983"	"4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-6-(((5-methyl-3-phenyl-4-isoxazolyl)carbonyl)amino)-7-oxo-, (2s-(2alpha,5alpha,6beta))-"	"4 thia 1 azabicyclo 3 2 0 heptane 2 carboxylic acid 3 3 dimethyl 6 5 methyl 3 phenyl 4 isoxazolyl carbonyl amino 7 oxo 2s 2alpha 5alpha 6beta "
"C0029983"	"methylphenyl isoxazolyl penicillin"	"methylphenyl isoxazolyl penicillin"
"C0029983"	"methylphenylisoxazolyl penicillin"	"methylphenylisoxazolyl penicillin"
"C0029983"	"oxacillin"	"oxacillin"
"C0029983"	"oxacillin (product)"	"oxacillin product "
"C0029983"	"oxacillin (substance)"	"oxacillin substance "
"C0029983"	"oxacillin [chemical/ingredient]"	"oxacillin chemical ingredient "
"C0029983"	"oxazocilline"	"oxazocilline"
"C0029983"	"penicillin, methylphenylisoxazolyl"	"penicillin methylphenylisoxazolyl"
"C0029983"	"oxacillin (medication)"	"oxacillin medication "
"C0069717"	"1,2-diaminocyclohexane platinum oxalate"	"1 2 diaminocyclohexane platinum oxalate"
"C0069717"	"1,2-diamminocyclohexane(trans-1)oxolatoplatinum(ii)"	"1 2 diamminocyclohexane trans 1 oxolatoplatinum ii "
"C0069717"	"1-ohp"	"1 ohp"
"C0069717"	"diaminocyclohexane oxalatoplatinum"	"diaminocyclohexane oxalatoplatinum"
"C0069717"	"l-ohp"	"l ohp"
"C0069717"	"l-ohp cpd"	"l ohp cpd"
"C0069717"	"oxaliplatin"	"oxaliplatin"
"C0069717"	"oxalatoplatin"	"oxalatoplatin"
"C0069717"	"oxalatoplatinum"	"oxalatoplatinum"
"C0069717"	"oxaliplatin (product)"	"oxaliplatin product "
"C0069717"	"oxaliplatin (substance)"	"oxaliplatin substance "
"C0069717"	"[(1r,-2r)-1,2-cyclohexanediamine-n,n'][oxalato (2--)-o,o']platinum"	"1r 2r 1 2 cyclohexanediamine n n oxalato 2 o o platinum"
"C0069717"	"oxalato (1r,2r-cyclohexanediamine)platinum(ii)"	"oxalato 1r 2r cyclohexanediamine platinum ii "
"C0069717"	"oxalato (trans-l-1,2-diaminocyclohexane)platinum(ii)"	"oxalato trans l 1 2 diaminocyclohexane platinum ii "
"C0069717"	"oxalato-(1,2-cyclohexanediamine)platinum ii"	"oxalato 1 2 cyclohexanediamine platinum ii"
"C0069717"	"oxaliplatin (medication)"	"oxaliplatin medication "
"C0069717"	"oxaliplatin [chemical/ingredient]"	"oxaliplatin chemical ingredient "
"C0069717"	"oxaliplatine"	"oxaliplatine"
"C0069717"	"platinum(ii)-1,2-cyclohexanediamine oxalate"	"platinum ii 1 2 cyclohexanediamine oxalate"
"C0069717"	"trans-l dach oxalatoplatinum"	"trans l dach oxalatoplatinum"
"C0069717"	"trans-l diaminocyclohexane oxalatoplatinum"	"trans l diaminocyclohexane oxalatoplatinum"
"C0134337"	"1-(3-(4-(diphenylmethyl)-1-piperazinyl)propyl)-1,3-dihydro-2h-benzimidazol-2-one"	"1 3 4 diphenylmethyl 1 piperazinyl propyl 1 3 dihydro 2h benzimidazol 2 one"
"C0134337"	"oxatomide"	"oxatomide"
"C0134337"	"oxatomide (product)"	"oxatomide product "
"C0134337"	"oxatomide (substance)"	"oxatomide substance "
"C0134337"	"oxatimide"	"oxatimide"
"C0134337"	"oxatomide (medication)"	"oxatomide medication "
"C0029997"	"2h-1,4-benzodiazepin-2-one, 7-chloro-1,3-dihydro-3-hydroxy-5-phenyl-"	"2h 1 4 benzodiazepin 2 one 7 chloro 1 3 dihydro 3 hydroxy 5 phenyl "
"C0029997"	"oxazepam"	"oxazepam"
"C0029997"	"oxazepam (product)"	"oxazepam product "
"C0029997"	"oxazepam (substance)"	"oxazepam substance "
"C0029997"	"oxazepam [chemical/ingredient]"	"oxazepam chemical ingredient "
"C0029997"	"ro 5-6789"	"ro 5 6789"
"C0029997"	"seresta"	"seresta"
"C0029997"	"wy-3498"	"wy 3498"
"C0029997"	"oxazepam (medication)"	"oxazepam medication "
"C0069749"	"10-chloro-2,3,7,11b-tetrahydro-2-methyl-11b-phenylbenzo(6,7)(1,4)diazepino(5,4-b) oxazol-6-one"	"10 chloro 2 3 7 11b tetrahydro 2 methyl 11b phenylbenzo 6 7 1 4 diazepino 5 4 b oxazol 6 one"
"C0069749"	"oxazolam"	"oxazolam"
"C0069749"	"oxazolazepam"	"oxazolazepam"
"C0069751"	"10,11-dihydro-10-oxo-5h-dibenz(b,f)azepine-5-carboxamide"	"10 11 dihydro 10 oxo 5h dibenz b f azepine 5 carboxamide"
"C0069751"	"oxcarbazepine"	"oxcarbazepine"
"C0069751"	"oxcarbazepine (product)"	"oxcarbazepine product "
"C0069751"	"oxcarbazepine (substance)"	"oxcarbazepine substance "
"C0069751"	"oxcarbazepine (medication)"	"oxcarbazepine medication "
"C0069751"	"oxcarbazepine [chemical/ingredient]"	"oxcarbazepine chemical ingredient "
"C0069751"	"oxcarbazepine substance"	"oxcarbazepine substance"
"C0069760"	"oxetorone"	"oxetorone"
"C0000578"	"2-amino-3-(5-hydroxy-1-h-indol-3-yl)propionic acid"	"2 amino 3 5 hydroxy 1 h indol 3 yl propionic acid"
"C0000578"	"2-amino-3-(5-hydroxy-1h-indol-3-yl)propanoic acid"	"2 amino 3 5 hydroxy 1h indol 3 yl propanoic acid"
"C0000578"	"5 hydroxytryptophan"	"5 hydroxytryptophan"
"C0000578"	"5 htp"	"5 htp"
"C0000578"	"5 hydroxy tryptophan"	"5 hydroxy tryptophan"
"C0000578"	"5-htp"	"5 htp"
"C0000578"	"5-hydroxy tryptophan"	"5 hydroxy tryptophan"
"C0000578"	"5-hydroxy tryptophan (substance)"	"5 hydroxy tryptophan substance "
"C0000578"	"5-hydroxy- tryptophan"	"5 hydroxy tryptophan"
"C0000578"	"5-hydroxytryptophan"	"5 hydroxytryptophan"
"C0000578"	"5-hydroxytryptophan [chemical/ingredient]"	"5 hydroxytryptophan chemical ingredient "
"C0000578"	"5-hydroxytryptophan (5-htp)"	"5 hydroxytryptophan 5 htp "
"C0000578"	"htp 05"	"htp 05"
"C0000578"	"hydroxytryptophan"	"hydroxytryptophan"
"C0000578"	"hydroxytryptophan 05"	"hydroxytryptophan 05"
"C0000578"	"hydroxytryptophan (5-)"	"hydroxytryptophan 5 "
"C0000578"	"l-5-hydroxytryptophan"	"l 5 hydroxytryptophan"
"C0000578"	"levothym"	"levothym"
"C0000578"	"oxitriptan"	"oxitriptan"
"C0000578"	"oxytryptophan"	"oxytryptophan"
"C0000578"	"tryptophan, 5 hydroxy"	"tryptophan 5 hydroxy"
"C0000578"	"tryptophan, 5-hydroxy-"	"tryptophan 5 hydroxy "
"C0069776"	"(7(s)-(1alpha,2beta,4beta,5alpha,7beta))-9-ethyl-7-(3-hydroxy-1-oxo-2-phenylpropoxy)-9-methyl-3-oxa-9-azoniatricyclo(3.3.1.02,4)nonane"	"7 s 1alpha 2beta 4beta 5alpha 7beta 9 ethyl 7 3 hydroxy 1 oxo 2 phenylpropoxy 9 methyl 3 oxa 9 azoniatricyclo 3 3 1 02 4 nonane"
"C0069776"	"(8r)-6beta,7beta-epoxy-8-ethyl-3alpha-hydroxy-1alpha-h,5alpha-h-tropanium (-)-tropate."	"8r 6beta 7beta epoxy 8 ethyl 3alpha hydroxy 1alpha h 5alpha h tropanium tropate "
"C0069776"	"oxitropium"	"oxitropium"
"C0069776"	"oxitropium (product)"	"oxitropium product "
"C0069776"	"oxitropium (substance)"	"oxitropium substance "
"C0768401"	"oxomemazine"	"oxomemazine"
"C0030040"	"2-propanol, 1-((1-methylethyl)amino)-3-(2-(2-propenyloxy)phenoxy)-"	"2 propanol 1 1 methylethyl amino 3 2 2 propenyloxy phenoxy "
"C0030040"	"oxprenolol"	"oxprenolol"
"C0030040"	"oxprenolol (product)"	"oxprenolol product "
"C0030040"	"oxprenolol (substance)"	"oxprenolol substance "
"C0030040"	"oxprenolol [chemical/ingredient]"	"oxprenolol chemical ingredient "
"C0030040"	"oxprenolol (medication)"	"oxprenolol medication "
"C0030049"	"14-hydroxydihydrocodeinone"	"14 hydroxydihydrocodeinone"
"C0030049"	"4,5-epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one"	"4 5 epoxy 14 hydroxy 3 methoxy 17 methylmorphinan 6 one"
"C0030049"	"dihydrohydroxycodeinone"	"dihydrohydroxycodeinone"
"C0030049"	"dihydrone"	"dihydrone"
"C0030049"	"dinarkon"	"dinarkon"
"C0030049"	"morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5alpha)-"	"morphinan 6 one 4 5 epoxy 14 hydroxy 3 methoxy 17 methyl 5alpha "
"C0030049"	"oxycodone"	"oxycodone"
"C0030049"	"oxycodeinon"	"oxycodeinon"
"C0030049"	"oxycodone (product)"	"oxycodone product "
"C0030049"	"oxycodone (substance)"	"oxycodone substance "
"C0030049"	"oxycodone sr"	"oxycodone sr"
"C0030049"	"oxycodone [chemical/ingredient]"	"oxycodone chemical ingredient "
"C0030049"	"oxycodone product"	"oxycodone product"
"C0030049"	"oxycodone product (product)"	"oxycodone product product "
"C0030049"	"oxycone"	"oxycone"
"C0030049"	"oxycodone (medication)"	"oxycodone medication "
"C0030049"	"synthetic narcotics oxycodone"	"synthetic narcotics oxycodone"
"C0030071"	"oxymetazoline"	"oxymetazoline"
"C0030071"	"oxymetazoline (product)"	"oxymetazoline product "
"C0030071"	"oxymetazoline (substance)"	"oxymetazoline substance "
"C0030071"	"oxymetazoline [chemical/ingredient]"	"oxymetazoline chemical ingredient "
"C0030071"	"phenol, 3-((4,5-dihydro-1h-imidazol-2-yl)methyl)-6-(1,1-dimethylethyl)-2,4-dimethyl-"	"phenol 3 4 5 dihydro 1h imidazol 2 yl methyl 6 1 1 dimethylethyl 2 4 dimethyl "
"C0030092"	"(4s,4ar,5s,5ar,6s,12as)-4-(dimethylamino)-3,5,6,10,11,12a-hexahydroxy-6-methyl-1,12-dioxo-1,4,4a,5,5a,6,12,12a-octahydrotetracene -2-carboxamide"	"4s 4ar 5s 5ar 6s 12as 4 dimethylamino 3 5 6 10 11 12a hexahydroxy 6 methyl 1 12 dioxo 1 4 4a 5 5a 6 12 12a octahydrotetracene 2 carboxamide"
"C0030092"	"2-naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-, (4s-(4alpha,4aalpha,5alpha,5aalpha,6beta,12aalpha))-"	"2 naphthacenecarboxamide 4 dimethylamino 1 4 4a 5 5a 6 11 12a octahydro 3 5 6 10 12 12a hexahydroxy 6 methyl 1 11 dioxo 4s 4alpha 4aalpha 5alpha 5aalpha 6beta 12aalpha "
"C0030092"	"hydroxytetracycline"	"hydroxytetracycline"
"C0030092"	"oxytetracycline"	"oxytetracycline"
"C0030092"	"oxytetracycline (product)"	"oxytetracycline product "
"C0030092"	"oxytetracycline (substance)"	"oxytetracycline substance "
"C0030092"	"oxytetracycline [chemical/ingredient]"	"oxytetracycline chemical ingredient "
"C0030092"	"oxytetracycline (discontinued)"	"oxytetracycline discontinued "
"C0030092"	"oxytetracycline (discontinued) (medication)"	"oxytetracycline discontinued medication "
"C0030092"	"oxytetracyclines"	"oxytetracyclines"
"C0030092"	"oxytetracyclines (medication)"	"oxytetracyclines medication "
"C0144576"	"5beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-diacetate 2-benzoate 13-ester with (2r,3s)-n-benzoyl-3-phenylisoserine"	"5beta 20 epoxy 1 2alpha 4 7beta 10beta 13alpha hexahydroxytax 11 en 9 one 4 10 diacetate 2 benzoate 13 ester with 2r 3s n benzoyl 3 phenylisoserine"
"C0144576"	"benzenepropanoic acid, beta-(benzoylamino)-alpha-hydroxy-, 6,12b-bis(acetyloxy)-12-(benzoyloxy)-2a,3,4,4a,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-4a,8,13,13-tetramethyl-5-oxo-7,11-methano-1h-cyclodeca(3,4)benz(1,2-b)oxet-9-yl ester, (2ar-(2aalph"	"benzenepropanoic acid beta benzoylamino alpha hydroxy 6 12b bis acetyloxy 12 benzoyloxy 2a 3 4 4a 5 6 9 10 11 12 12a 12b dodecahydro 4 11 dihydroxy 4a 8 13 13 tetramethyl 5 oxo 7 11 methano 1h cyclodeca 3 4 benz 1 2 b oxet 9 yl ester 2ar 2aalph"
"C0144576"	"benzenepropanoic acid, beta-(benzoylamino)-alpha-hydroxy-, 6,12b-bis(acetyloxy)-12-(benzoyloxy)-2a,3,4,4a,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-4a,8,13,13-tetramethyl-5-oxo-7,11-methano-1h-cyclodeca(3,4)benz(1,2-b)oxet-9-yl ester, (2ar-(2aalpha,4beta,4abeta,6beta,9alpha(alphar*,betas*),11alpha,1-2alpha,12aalpha,12balpha))-"	"benzenepropanoic acid beta benzoylamino alpha hydroxy 6 12b bis acetyloxy 12 benzoyloxy 2a 3 4 4a 5 6 9 10 11 12 12a 12b dodecahydro 4 11 dihydroxy 4a 8 13 13 tetramethyl 5 oxo 7 11 methano 1h cyclodeca 3 4 benz 1 2 b oxet 9 yl ester 2ar 2aalpha 4beta 4abeta 6beta 9alpha alphar betas 11alpha 1 2alpha 12aalpha 12balpha "
"C0144576"	"paclitaxel"	"paclitaxel"
"C0144576"	"paclitaxel (product)"	"paclitaxel product "
"C0144576"	"paclitaxel (substance)"	"paclitaxel substance "
"C0144576"	"paclitaxel preparation"	"paclitaxel preparation"
"C0144576"	"paclitaxel [chemical/ingredient]"	"paclitaxel chemical ingredient "
"C0144576"	"tax"	"tax"
"C0144576"	"[2ar-[2a alpha,4beta,4a beta,6beta,9alpha(alphar*,betas*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1h-cyclodeca[3,4]benz[1,2-b]oxet-9-yl ester"	"2ar 2a alpha 4beta 4a beta 6beta 9alpha alphar betas 11alpha 12alpha 12a alpha 12b alpha beta benzoylamino alpha hydroxybenzene propanoic acid 6 12b bis acetyloxy 12 benzoyloxy 1a 33 4 41 5 6 9 10 11 12 12a 12b dodecahydro 4 11 dihydroxy 41 8 12 13 tetramethyl 5 oxo 7 11 methano 1h cyclodeca 3 4 benz 1 2 b oxet 9 yl ester"
"C0144576"	"paclitaxel (medication)"	"paclitaxel medication "
"C0753678"	"3-(2-(4-(6-fluoro-3-(1,2-benzisoxazolyl))-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-9-hydroxy-2-methyl-4h-pyrido(1,2-a)pyrimidin-4-one"	"3 2 4 6 fluoro 3 1 2 benzisoxazolyl 1 piperidinyl ethyl 6 7 8 9 tetrahydro 9 hydroxy 2 methyl 4h pyrido 1 2 a pyrimidin 4 one"
"C0753678"	"4h-pyrido(1,2-a)pyrimidin-4-one, 3-(2-(4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-9-hydroxy-2-methyl-"	"4h pyrido 1 2 a pyrimidin 4 one 3 2 4 6 fluoro 1 2 benzisoxazol 3 yl 1 piperidinyl ethyl 6 7 8 9 tetrahydro 9 hydroxy 2 methyl "
"C0753678"	"9 hydroxy risperidone"	"9 hydroxy risperidone"
"C0753678"	"9 hydroxyrisperidone"	"9 hydroxyrisperidone"
"C0753678"	"9 oh risperidone"	"9 oh risperidone"
"C0753678"	"9-hydroxy-risperidone"	"9 hydroxy risperidone"
"C0753678"	"9-hydroxyrisperidone"	"9 hydroxyrisperidone"
"C0753678"	"9-hydroxyrisperidone (substance)"	"9 hydroxyrisperidone substance "
"C0753678"	"9-oh-risperidone"	"9 oh risperidone"
"C0753678"	"paliperidone"	"paliperidone"
"C0753678"	"paliperidone (product)"	"paliperidone product "
"C0753678"	"paliperidone (substance)"	"paliperidone substance "
"C0753678"	"paliperidone (medication)"	"paliperidone medication "
"C0030310"	"pancuronium"	"pancuronium"
"C0030310"	"pancuronium (product)"	"pancuronium product "
"C0030310"	"pancuronium (substance)"	"pancuronium substance "
"C0030310"	"pancuronium [chemical/ingredient]"	"pancuronium chemical ingredient "
"C0030310"	"piperidinium, 1,1'-((2beta,3alpha,5alpha,16beta,17beta)-3,17-bis(acetyloxy)androstane-2,16-diyl)bis(1-methyl-)"	"piperidinium 1 1 2beta 3alpha 5alpha 16beta 17beta 3 17 bis acetyloxy androstane 2 16 diyl bis 1 methyl "
"C0879427"	"abx-egf"	"abx egf"
"C0879427"	"abx-egf mab"	"abx egf mab"
"C0879427"	"abx-egf monoclonal antibody"	"abx egf monoclonal antibody"
"C0879427"	"abx-egf, clone e7.6.3"	"abx egf clone e7 6 3"
"C0879427"	"immunoglobulin, anti-(human epidermal growth factor receptor) (human monoclonal abx-egf heavy chain), disulfide with human monoclonal abx-egf light chain, dimer"	"immunoglobulin anti human epidermal growth factor receptor human monoclonal abx egf heavy chain disulfide with human monoclonal abx egf light chain dimer"
"C0879427"	"moab abx-egf"	"moab abx egf"
"C0879427"	"monoclonal antibody abx-egf"	"monoclonal antibody abx egf"
"C0879427"	"panitumumab"	"panitumumab"
"C0879427"	"panitumumab (product)"	"panitumumab product "
"C0879427"	"panitumumab (substance)"	"panitumumab substance "
"C0879427"	"panitumumab (medication)"	"panitumumab medication "
"C0879427"	"panitumumab [chemical/ingredient]"	"panitumumab chemical ingredient "
"C0879427"	"panitumumab antibody, human"	"panitumumab antibody human"
"C0081876"	"1h-benzimidazole, 5-(difluoromethoxy)-2-(((3,4-dimethoxy-2-pyridinyl)methyl)sulfinyl)-"	"1h benzimidazole 5 difluoromethoxy 2 3 4 dimethoxy 2 pyridinyl methyl sulfinyl "
"C0081876"	"pantoprazole"	"pantoprazole"
"C0081876"	"pantoprazole (product)"	"pantoprazole product "
"C0081876"	"pantoprazole (substance)"	"pantoprazole substance "
"C0081876"	"pantoprazole (medication)"	"pantoprazole medication "
"C0081876"	"pantoprazole [chemical/ingredient]"	"pantoprazole chemical ingredient "
"C0030415"	"hard paraffin"	"hard paraffin"
"C0030415"	"hard paraffin (product)"	"hard paraffin product "
"C0030415"	"paraffin"	"paraffin"
"C0030415"	"paraffin hydrocarbons"	"paraffin hydrocarbons"
"C0030415"	"paraffin wax"	"paraffin wax"
"C0030415"	"paraffin wax [va product]"	"paraffin wax va product "
"C0030415"	"paraffin (substance)"	"paraffin substance "
"C0030415"	"paraffin (substance) [ambiguous]"	"paraffin substance ambiguous "
"C0030415"	"paraffin [chemical/ingredient]"	"paraffin chemical ingredient "
"C0030415"	"paraffin hard"	"paraffin hard"
"C0030415"	"paraffin product"	"paraffin product"
"C0030415"	"paraffin product (product)"	"paraffin product product "
"C0030415"	"paraffin product (substance)"	"paraffin product substance "
"C0030415"	"paraffin wax (substance)"	"paraffin wax substance "
"C0030415"	"paraffin, nos"	"paraffin nos"
"C0030415"	"paraffins"	"paraffins"
"C0915142"	"n-(((5-methyl-3-phenylisoxazol-4-yl)-phenyl)sulfonyl)propanamide"	"n 5 methyl 3 phenylisoxazol 4 yl phenyl sulfonyl propanamide"
"C0915142"	"n-(((me-p)-p)s)p"	"n me p p s p"
"C0915142"	"parecoxib"	"parecoxib"
"C0915142"	"parecoxib (product)"	"parecoxib product "
"C0915142"	"parecoxib (substance)"	"parecoxib substance "
"C0915142"	"propanamide, n-((4-(5-methyl-3-phenyl-4- isoxazolyl)phenyl)sulfonyl)-"	"propanamide n 4 5 methyl 3 phenyl 4 isoxazolyl phenyl sulfonyl "
"C3864824"	"paritaprevir"	"paritaprevir"
"C3864824"	"paritaprevir (product)"	"paritaprevir product "
"C3864824"	"paritaprevir (substance)"	"paritaprevir substance "
"C0070122"	"(-)-(3s,4r)-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine"	"3s 4r 4 p fluorophenyl 3 3 4 methylenedioxy phenoxy methyl piperidine"
"C0070122"	"(-)-trans-4-(p-fluorophenyl)-3-((3,4-(methylenedioxy)phenoxy)methyl)piperidine"	"trans 4 p fluorophenyl 3 3 4 methylenedioxy phenoxy methyl piperidine"
"C0070122"	"paroxetine"	"paroxetine"
"C0070122"	"paroxetine (product)"	"paroxetine product "
"C0070122"	"paroxetine (substance)"	"paroxetine substance "
"C0070122"	"paroxetine [chemical/ingredient]"	"paroxetine chemical ingredient "
"C0070122"	"piperidine, 3-((1,3-benzodioxol-5-yloxy)methyl)-4-(4-fluorophenyl)-, (3s-trans)-"	"piperidine 3 1 3 benzodioxol 5 yloxy methyl 4 4 fluorophenyl 3s trans "
"C1872203"	"cyclo((4r)-4-(2-aminoethylcarbamoyloxy)-l-prolyl-l-phenylglycyl-d-tryptophyl-l-lysyl-4-o-benzyl-l-tyrosyl-l-phenylalanyl-)"	"cyclo 4r 4 2 aminoethylcarbamoyloxy l prolyl l phenylglycyl d tryptophyl l lysyl 4 o benzyl l tyrosyl l phenylalanyl "
"C1872203"	"pasireotide"	"pasireotide"
