"PHA_CIP_C13"	"PHA_NOM_PA"	"PHA_ATC_L07"	"PHA_MED_COM"	"PHA_FRM_LIB"	"total"
"3400937253765"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BIOGARAN"	"COMPRIME"	5391
"3400937254885"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BIOGARAN"	"COMPRIME"	3584
"3400937257039"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL QUALIMED"	""	110
"3400937258159"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL QUALIMED"	""	169
"3400937259101"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL QUALIMED"	""	89
"3400937260459"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BOUCHARA RECORDATI"	"COMPRIME"	72
"3400937261401"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BOUCHARA RECORDATI"	"COMPRIME"	147
"3400937262699"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BOUCHARA RECORDATI"	"COMPRIME"	150
"3400937263641"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL BOUCHARA RECORDATI"	"COMPRIME"	79
"3400937264761"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	384
"3400937265881"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	871
"3400937266833"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	873
"3400937268035"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	777
"3400937269155"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL EG"	"COMPRIME"	386
"3400937270274"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL EG"	"COMPRIME"	780
"3400937271455"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL EG"	"COMPRIME"	1097
"3400937272407"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL EG"	"COMPRIME"	683
"3400937273695"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALTER"	"COMPRIME"	8
"3400937274647"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALTER"	"COMPRIME"	33
"3400937275767"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALTER"	"COMPRIME"	79
"3400937276887"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALTER"	"COMPRIME"	41
"3400937278898"	"LAMOTRIGINE"	"LAMOTRIGINE"	"LAMOTRIGINE SANDOZ"	"COMPRIME"	185
"3400937279550"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE BIOGARAN"	"COMPRIME"	7487
"3400937279789"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE BIOGARAN"	"COMPRIME"	3265
"3400937279840"	"ACECLOFENAC"	"ACECLOFENAC"	"ACECLOFENAC MYLAN"	"COMPRIME"	5566
"3400937279901"	"ACECLOFENAC"	"ACECLOFENAC"	"ACECLOFENAC QUALIMED"	""	274
"3400937280440"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE BIOGARAN"	"COMPRIME"	2750
"3400937280730"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE BIOGARAN"	"COMPRIME"	862
"3400937281270"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE SANDOZ"	"COMPRIME"	1035
"3400937281621"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE SANDOZ"	"COMPRIME"	231
"3400937282161"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ALTER"	""	1
"3400937282802"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE RATIOPHARM"	"COMPRIME"	583
"3400937283113"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE RATIOPHARM"	"COMPRIME"	121
"3400937283571"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ARROW"	"COMPRIME"	598
"3400937283922"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ARROW"	"COMPRIME"	154
"3400937284462"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE TEVA"	""	555
"3400937284752"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE TEVA"	""	61
"3400937285124"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE RANBAXY"	""	31
"3400937285582"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE EG"	"COMPRIME"	1239
"3400937285704"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE TEVA"	"COMPRIME"	3148
"3400937285933"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE ALMUS"	"COMPRIME"	364
"3400937286534"	"HYDROCHLOROTHIAZIDE + AMILORIDE"	"HYDROCHLOROTHIAZIDE ET EPARGNEURS POTASSIQUES"	"AMILORIDE HYDROCHLOROTHIAZIDE TEVA"	"COMPRIME"	377
"3400937286824"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL TEVA"	"COMPRIME"	795
"3400937286992"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL TEVA"	"COMPRIME"	3719
"3400937287135"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL TEVA"	"COMPRIME"	448
"3400937287364"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL TEVA"	"COMPRIME"	1823
"3400937287425"	"CELIPROLOL"	"CELIPROLOL"	"CELIPROLOL TEVA"	"COMPRIME"	401
"3400937288316"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE TEVA"	"GELULE"	359
"3400937288484"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE TEVA"	""	1
"3400937288606"	"GLICLAZIDE"	"GLICLAZIDE"	"GLICLAZIDE TEVA"	"COMPRIME"	43
"3400937289146"	"LISINOPRIL"	"LISINOPRIL"	"LISINOPRIL TEVA"	"COMPRIME"	91
"3400937289436"	"METFORMINE"	"METFORMINE"	"METFORMINE TEVA"	"COMPRIME"	1515
"3400937289665"	"METFORMINE"	"METFORMINE"	"METFORMINE TEVA"	"COMPRIME"	2323
"3400937289955"	"NIFEDIPINE"	"NIFEDIPINE"	"NIFEDIPINE TEVA"	""	4
"3400937290265"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE TEVA"	"COMPRIME"	1057
"3400937290494"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE TEVA"	"COMPRIME"	178
"3400937290555"	"ALTIZIDE + SPIRONOLACTONE"	"ALTIZIDE ET EPARGNEURS POTASSIQUES"	"SPIRONOLACTONE ALTIZIDE TEVA"	"COMPRIME"	501
"3400937290616"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE TEVA"	"COMPRIME"	216
"3400937290784"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE TEVA"	"COMPRIME"	222
"3400937291095"	"BISOPROLOL"	"BISOPROLOL"	"BISOPROLOL QUALIMED"	""	60
"3400937291736"	"METFORMINE"	"METFORMINE"	"METFORMINE RATIOPHARM"	"COMPRIME"	321
"3400937291965"	"METFORMINE"	"METFORMINE"	"METFORMINE RATIOPHARM"	"COMPRIME"	441
"3400937292047"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE SANDOZ"	"COMPRIME"	2
"3400937292627"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL SANDOZ"	"COMPRIME"	479
"3400937292856"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL SANDOZ"	"COMPRIME"	122
"3400937293686"	"CAPTOPRIL"	"CAPTOPRIL"	"CAPTOPRIL BIOSTABILEX"	""	1
"3400937294058"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE SANDOZ"	"GELULE"	418
"3400937294119"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE SANDOZ"	"GELULE"	1002
"3400937294287"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE SANDOZ"	"COMPRIME"	449
"3400937294409"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE SANDOZ"	"COMPRIME"	139
"3400937295529"	"ENALAPRIL + HYDROCHLOROTHIAZIDE"	"ENALAPRIL ET DIURETIQUES"	"ENALAPRIL/HYDROCHLOROTHIAZIDE BIOSTABILEX"	""	17
"3400937295758"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL QUALIMED"	""	24
"3400937295819"	"FUROSEMIDE + SPIRONOLACTONE"	"FUROSEMIDE ET EPARGNEURS POTASSIQUES"	"ALDALIX"	""	335
"3400937295987"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"ALDACTONE"	"COMPRIME"	383
"3400937296069"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"ALDACTONE"	"COMPRIME"	132
"3400937296359"	"QUINAPRIL"	"QUINAPRIL"	"ACUITEL"	"COMPRIME"	16
"3400937296410"	"QUINAPRIL"	"QUINAPRIL"	"ACUITEL"	"COMPRIME"	77
"3400937296588"	"PRAZOSINE"	"PRAZOSINE"	"ALPRESS"	"COMPRIME"	206
"3400937296649"	"PRAZOSINE"	"PRAZOSINE"	"ALPRESS"	"COMPRIME"	381
"3400937296700"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE PFIZER (ex Practon Gé)"	"COMPRIME"	70
"3400937296878"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE PFIZER (ex Practon Gé)"	"COMPRIME"	98
"3400937296939"	"ALTIZIDE + SPIRONOLACTONE"	"ALTIZIDE ET EPARGNEURS POTASSIQUES"	"SPIRONOLACTONE ALTIZIDE PFIZER"	"COMPRIME"	378
"3400937297820"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL BIOSTABILEX"	""	1
"3400937298070"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL BIOSTABILEX"	""	77
"3400937298599"	"LISINOPRIL"	"LISINOPRIL"	"LISINOPRIL SANDOZ"	"COMPRIME"	14
"3400937298711"	"LISINOPRIL"	"LISINOPRIL"	"LISINOPRIL SANDOZ"	"COMPRIME"	93
"3400937299190"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL MYLAN"	"COMPRIME"	2658
"3400937299541"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL MYLAN"	"COMPRIME"	1208
"3400937300124"	"ENALAPRIL + HYDROCHLOROTHIAZIDE"	"ENALAPRIL ET DIURETIQUES"	"ENALAPRIL/HYDROCHLOROTHIAZIDE MYLAN"	"COMPRIME"	412
"3400937300353"	"NIFEDIPINE"	"NIFEDIPINE"	"NIFEDIPINE MYLAN"	"COMPRIME"	3
"3400937300414"	"RILMENIDINE"	"RILMENIDINE"	"RILMENIDINE MYLAN"	"COMPRIME"	1474
"3400937300582"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL MYLAN"	"COMPRIME"	552
"3400937300643"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL MYLAN"	"COMPRIME"	1115
"3400937300704"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL MYLAN"	"COMPRIME"	1101
"3400937300872"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL MYLAN"	"COMPRIME"	1617
"3400937300933"	"NITRENDIPINE"	"NITRENDIPINE"	"NITRENDIPINE MYLAN"	"COMPRIME"	394
"3400937301183"	"NITRENDIPINE"	"NITRENDIPINE"	"NITRENDIPINE MYLAN"	""	33
"3400937301244"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL MYLAN"	"COMPRIME"	1229
"3400937301992"	"ENALAPRIL + HYDROCHLOROTHIAZIDE"	"ENALAPRIL ET DIURETIQUES"	"ENALAPRIL/HYDROCHLOROTHIAZIDE QUALIMED"	"COMPRIME"	3
"3400937302425"	"RILMENIDINE"	"RILMENIDINE"	"RILMENIDINE QUALIMED"	""	21
"3400937302593"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL QUALIMED"	""	10
"3400937302715"	"FENOFIBRATE"	"FENOFIBRATE"	"FEGENOR"	"GELULE"	53
"3400937302883"	"CALCIUM + VITAMINE D3"	"CALCIUM EN ASSOCIATION AVEC VITAMINE D ET/OU AUTRES MEDICAMENTS"	"EPTAVIT"	"COMPRIME"	182
"3400937303026"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL RPG"	""	1
"3400937303484"	"METFORMINE"	"METFORMINE"	"METFORMINE RPG"	"COMPRIME"	331
"3400937304146"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE RANBAXY"	""	12
"3400937304375"	"BISOPROLOL"	"BISOPROLOL"	"BISOPROLOL RPG"	"COMPRIME"	24
"3400937306096"	"DONEPEZIL"	"DONEPEZIL"	"ARICEPT"	"COMPRIME"	89
"3400937306447"	"DONEPEZIL"	"DONEPEZIL"	"ARICEPT"	"COMPRIME"	204
"3400937306676"	"CEFTAZIDIME"	"CEFTAZIDIME"	"FORTUM"	"POUDRE"	2
"3400937307567"	"LEVONORGESTREL"	"LEVONORGESTREL"	"LEVONORGESTREL BIOGARAN"	"COMPRIME"	397
"3400937307628"	"OXOMEMAZINE"	"OXOMEMAZINE"	"TOPLEXIL"	"SOLUTION"	12087
"3400937308458"	"METFORMINE"	"METFORMINE"	"METFORMINE RANBAXY"	"COMPRIME"	227
"3400937308748"	"METFORMINE"	"METFORMINE"	"METFORMINE RANBAXY"	"COMPRIME"	143
"3400937310697"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL SANDOZ"	"COMPRIME"	104
"3400937310758"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL SANDOZ"	"COMPRIME"	395
"3400937310819"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL SANDOZ"	"COMPRIME"	619
"3400937310987"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL SANDOZ"	"COMPRIME"	378
"3400937311069"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL TEVA"	"COMPRIME"	515
"3400937312011"	"VERAPAMIL"	"VERAPAMIL"	"VERAPAMIL TEVA"	"GELULE"	271
"3400937312189"	"BENAZEPRIL"	"BENAZEPRIL"	"CIBACENE"	"COMPRIME"	292
"3400937312301"	"BENAZEPRIL"	"BENAZEPRIL"	"CIBACENE"	"COMPRIME"	21
"3400937312479"	"BENAZEPRIL"	"BENAZEPRIL"	"CIBACENE"	"COMPRIME"	708
"3400937312769"	"BENAZEPRIL"	"BENAZEPRIL"	"CIBACENE"	"COMPRIME"	122
"3400937312998"	"LACIDIPINE"	"LACIDIPINE"	"CALDINE"	"COMPRIME"	178
"3400937313131"	"LACIDIPINE"	"LACIDIPINE"	"CALDINE"	"COMPRIME"	139
"3400937314022"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL SANDOZ"	"COMPRIME"	213
"3400937314251"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL SANDOZ"	"COMPRIME"	62
"3400937314480"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL SANDOZ"	"COMPRIME"	553
"3400937314602"	"ENALAPRIL"	"ENALAPRIL"	"ENALAPRIL SANDOZ"	"COMPRIME"	333
"3400937314831"	"METOPROLOL"	"METOPROLOL"	"METOPROLOL SANDOZ"	""	1
"3400937315081"	"CELIPROLOL"	"CELIPROLOL"	"CELIPROLOL SANDOZ"	"COMPRIME"	131
"3400937316781"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL SANDOZ"	"COMPRIME"	3424
"3400937316903"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL SANDOZ"	"COMPRIME"	773
"3400937317733"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL SANDOZ"	"COMPRIME"	1482
"3400937318044"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL SANDOZ"	"COMPRIME"	395
"3400937318105"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE G GAM"	""	1
"3400937319393"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE RANBAXY"	"GELULE"	90
"3400937319744"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE EG"	"GELULE"	174
"3400937320573"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE SANDOZ"	"GELULE"	522
"3400937321006"	"ALFUZOSINE"	"ALFUZOSINE"	"ALFUZOSINE BIOGARAN"	"COMPRIME"	7956
"3400937321174"	"GLIBENCLAMIDE"	"GLIBENCLAMIDE"	"GLIBENCLAMIDE BIOGARAN"	"COMPRIME"	891
"3400937321464"	"GLIBENCLAMIDE"	"GLIBENCLAMIDE"	"GLIBENCLAMIDE BIOGARAN"	"COMPRIME"	459
"3400937324076"	"TRIMEBUTINE"	"TRIMEBUTINE"	"TRIMEBUTINE ARROW"	"COMPRIME"	2084
"3400937324366"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE TEVA"	"GELULE"	616
"3400937324656"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE MYLAN"	"GELULE"	1379
"3400937324946"	"SERTRALINE"	"SERTRALINE"	"SERTRALINE ACTAVIS"	"GELULE"	2
"3400937325776"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE CRISTERS"	"COMPRIME"	26
"3400937327787"	"RIBAVIRINE"	"RIBAVIRINE"	"REBETOL"	"GELULE"	24
"3400937328210"	"ROUGEOLE EN ASSOCIATION A OREILLONS ET RUBEOLE, VIRUS VIVANTS ATTENUES"	"ROUGEOLE EN ASSOCIATION AVEC OREILLONS ET RUBEOLE, VIRUS VIVANTS ATTENUES"	"M-M-RVAXPRO"	"POUDRE"	5511
"3400937328500"	"ROTIGOTINE"	"ROTIGOTINE"	"NEUPRO"	"DISPOSITIF"	32
"3400937328739"	"ROTIGOTINE"	"ROTIGOTINE"	"NEUPRO"	"DISPOSITIF"	24
"3400937329910"	"DESLORATADINE"	"DESLORATADINE"	"AERIUS"	"SIROP"	5
"3400937330220"	"TRANDOLAPRIL"	"TRANDOLAPRIL"	"TRANDOLAPRIL ACTAVIS"	"GELULE"	1
"3400937331869"	"CAPTOPRIL + HYDROCHLOROTHIAZIDE"	"CAPTOPRIL ET DIURETIQUES"	"CAPTOPRIL/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	5
"3400937332989"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALMUS"	"COMPRIME"	53
"3400937334471"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALMUS"	"COMPRIME"	189
"3400937335652"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALMUS"	"COMPRIME"	48
"3400937336604"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ALMUS"	"COMPRIME"	89
"3400937337205"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	271
"3400937338493"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	425
"3400937338554"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	8
"3400937339445"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	511
"3400937339506"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	4
"3400937340625"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW LAB"	"COMPRIME"	291
"3400937342865"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ZYDUS"	""	68
"3400937343985"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ZYDUS"	""	130
"3400937344418"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ZYDUS"	""	46
"3400937345996"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ZENTIVA"	"COMPRIME"	438
"3400937346368"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ZENTIVA"	"COMPRIME"	96
"3400937346719"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ACTAVIS"	"COMPRIME"	22
"3400937347488"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE CRISTERS"	"COMPRIME"	48
"3400937348140"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ZYDUS"	"COMPRIME"	208
"3400937348430"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE ZYDUS"	"COMPRIME"	23
"3400937348959"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOPHARM"	"COMPRIME"	70
"3400937349550"	"AMLODIPINE"	"AMLODIPINE"	"AMLODIPINE TEVA"	"GELULE"	4211
"3400937349901"	"AMLODIPINE"	"AMLODIPINE"	"AMLODIPINE TEVA"	"GELULE"	1977
"3400937350389"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE ARROW"	"COMPRIME"	768
"3400937351621"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA 20 MG/12,5"	"COMPRIME"	386
"3400937351850"	"LISINOPRIL + HYDROCHLOROTHIAZIDE"	"LISINOPRIL ET DIURETIQUES"	"LISINOPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM"	"COMPRIME"	312
"3400937352161"	"CHLORMADINONE"	"CHLORMADINONE"	"CHLORMADINONE MYLAN GENERIQUES"	"COMPRIME"	112
"3400937352222"	"CHLORMADINONE"	"CHLORMADINONE"	"CHLORMADINONE MYLAN GENERIQUES"	""	24
"3400937353052"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	""	455
"3400937353113"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	"COMPRIME"	276
"3400937353342"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	""	31
"3400937353403"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	"COMPRIME"	23
"3400937353632"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	""	861
"3400937353861"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	"COMPRIME"	445
"3400937354004"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	""	64
"3400937354172"	"MOXONIDINE"	"MOXONIDINE"	"MOXONIDINE MYLAN"	"COMPRIME"	73
"3400937354233"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	53
"3400937354523"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	109
"3400937354691"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	1
"3400937354752"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	152
"3400937354981"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL ARROW"	""	133
"3400937355292"	"TERBINAFINE"	"TERBINAFINE"	"TERBINAFINE RANBAXY"	""	45
"3400937356305"	"DEXTROPROPOXYPHENE + PARACETAMOL + CAFEINE"	"DEXTROPROPOXYPHENE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES"	"DEXTROPROPOXYPHENE/PARACETAMOL/CAFEINE QUALIMED"	"COMPRIME"	129
"3400937356473"	"DEXTROPROPOXYPHENE + PARACETAMOL + CAFEINE"	"DEXTROPROPOXYPHENE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES"	"DEXTROPROPOXYPHENE/PARACETAMOL/CAFEINE MYLAN GENERIQUES"	"COMPRIME"	1995
"3400937356534"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE MYLAN"	"COMPRIME"	3509
"3400937356763"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE QUALIMED"	""	37
"3400937356824"	"FENOFIBRATE"	"FENOFIBRATE"	"FENOFIBRATE EG"	"COMPRIME"	387
"3400937358026"	"RAMIPRIL"	"RAMIPRIL"	"RAMIPRIL TEVA SANTE"	"COMPRIME"	571
"3400937359207"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE BIOGARAN"	""	1355
"3400937359436"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE BIOGARAN"	"COMPRIME"	491
"3400937362917"	"METOPROLOL"	"METOPROLOL"	"METOPROLOL RANBAXY"	"COMPRIME"	90
"3400937364577"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE ARROW"	"COMPRIME"	5
"3400937365758"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL ARROW"	"COMPRIME"	226
"3400937365987"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE TEVA"	"COMPRIME"	1266
"3400937366069"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE TEVA"	"COMPRIME"	492
"3400937366410"	"CELIPROLOL"	"CELIPROLOL"	"CELIPROLOL CRISTERS"	"COMPRIME"	26
"3400937366649"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL CRISTERS"	"COMPRIME"	39
"3400937366700"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE CRISTERS"	"COMPRIME"	19
"3400937366878"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE CRISTERS"	"COMPRIME"	8
"3400937366939"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE CRISTERS"	"COMPRIME"	106
"3400937367011"	"SIMVASTATINE"	"SIMVASTATINE"	"SIMVASTATINE CRISTERS"	"COMPRIME"	16
"3400937374392"	"FOSFOMYCINE"	"FOSFOMYCINE"	"FOSFOMYCINE ACTAVIS"	"GRANULES"	34
"3400937374514"	"TRAMADOL"	"TRAMADOL"	"TRAMADOL TEVA LP"	"COMPRIME"	2134
"3400937374972"	"KETOPROFENE"	"KETOPROFENE"	"KETOPROFENE TEVA"	""	355
"3400937375115"	"CEFIXIME"	"CEFIXIME"	"CEFIXIME ZYDUS"	"COMPRIME"	165
"3400937375344"	"CITALOPRAM"	"CITALOPRAM"	"CITALOPRAM ACTAVIS"	"COMPRIME"	55
"3400937376983"	"PRAVASTATINE ET ACIDE ACETYLSALICYLIQUE"	"PRAVASTATINE ET ACIDE ACETYLSALICYLIQUE"	"PRAVADUAL"	"COMPRIME"	1280
"3400937377355"	"METFORMINE"	"METFORMINE"	"METFORMINE ZENTIVA"	"COMPRIME"	3291
"3400937377416"	"CALCIUM + VITAMINE D3"	"CALCIUM EN ASSOCIATION AVEC VITAMINE D ET/OU AUTRES MEDICAMENTS"	"CALCIFORTE VITAMINE D3"	"COMPRIME"	37
"3400937377645"	"CELIPROLOL"	"CELIPROLOL"	"CELIPROLOL RANBAXY"	"COMPRIME"	29
"3400937378185"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL RANBAXY"	"COMPRIME"	19
"3400937378307"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE BIOSTABILEX"	""	216
"3400937378536"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE BIOSTABILEX"	""	77
"3400937380317"	"ACEBUTOLOL"	"ACEBUTOLOL"	"ACEBUTOLOL RANBAXY"	"COMPRIME"	25
