code	termino	synonyme	"synonyme"
DB08253	drugbank	NAM NAPTHYLAMINOALANINE	"nam napthylaminoalanine"
DB08254	drugbank	2-NAPHTHALENESULFONIC ACID	"2 naphthalenesulfonic acid"
DB08255	drugbank	(3AR,5R,6S,7R,7AR)-5-(HYDROXYMETHYL)-2-PROPYL-5,6,7,7A-TETRAHYDRO-3AH-PYRANO[3,2-D][1,3]THIAZOLE-6,7-DIOL	" 3ar 5r 6s 7r 7ar 5 hydroxymethyl 2 propyl 5 6 7 7a tetrahydro 3ah pyrano 3 2 d 1 3 thiazole 6 7 diol"
DB08256	drugbank	N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE	"n cyclohexylamino carbonyl glycine"
DB08257	drugbank	4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID	"4 cyclohexylamino carbonyl amino butanoic acid"
DB08258	drugbank	6-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEXANOIC ACID	"6 cyclohexylamino carbonyl amino hexanoic acid"
DB08259	drugbank	7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID	"7 cyclohexylamino carbonyl amino heptanoic acid"
DB08260	drugbank	(1S,2R,3S,4R,5R)-2,3,4-trihydroxy-N-octyl-6-oxa-8-azabicyclo[3.2.1]octane-8-carbothioamide	" 1s 2r 3s 4r 5r 2 3 4 trihydroxy n octyl 6 oxa 8 azabicyclo 3 2 1 octane 8 carbothioamide"
DB08261	drugbank	2-hydroxy-7-methoxy-5-methyl-naphthalene-1-carboxylic acid meso-2,5-dihydroxy-cyclopent-3-enyl ester	"2 hydroxy 7 methoxy 5 methyl naphthalene 1 carboxylic acid meso 2 5 dihydroxy cyclopent 3 enyl ester"
DB08262	drugbank	2,6-dicarboxynaphthalene	"2 6 dicarboxynaphthalene"
DB08263	drugbank	N-(carboxycarbonyl)-D-phenylalanine	"n carboxycarbonyl d phenylalanine"
DB08264	drugbank	(1R, 2S)-cis 1,2 dihydroxy-1,2-dihydronaphthalene	" 1r 2s cis 1 2 dihydroxy 1 2 dihydronaphthalene"
DB08265	drugbank	2-(TOLUENE-4-SULFONYL)-2H-BENZO[D][1,2,3]DIAZABORININ-1-OL	"2 toluene 4 sulfonyl 2h benzo d 1 2 3 diazaborinin 1 ol"
DB08266	drugbank	methyl [(1E,5R)-5-{(3S)-3-[(2E,4E)-2,5-dimethylocta-2,4-dienoyl]-2,4-dioxo-3,4-dihydro-2H-pyran-6-yl}hexylidene]carbamate	"methyl 1e 5r 5 3s 3 2e 4e 2 5 dimethylocta 2 4 dienoyl 2 4 dioxo 3 4 dihydro 2h pyran 6 yl hexylidene carbamate"
DB08267	drugbank	6-amino-4-(2-phenylethyl)-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one	"6 amino 4 2 phenylethyl 1 7 dihydro 8h imidazo 4 5 g quinazolin 8 one"
DB08268	drugbank	6-AMINO-4-[2-(4-METHYLPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE	"6 amino 4 2 4 methylphenyl ethyl 1 7 dihydro 8h imidazo 4 5 g quinazolin 8 one"
DB08270	drugbank	N-(2-AMINOETHYL)-N~2~-{(1S)-1-[4'-(AMINOSULFONYL)BIPHENYL-4-YL]-2,2,2-TRIFLUOROETHYL}-L-LEUCINAMIDE	"n 2 aminoethyl n~2~ 1s 1 4 aminosulfonyl biphenyl 4 yl 2 2 2 trifluoroethyl l leucinamide"
DB08271	drugbank	N-ISOBUTYL-N-[4-METHOXYPHENYLSULFONYL]GLYCYL HYDROXAMIC ACID	"n isobutyl n 4 methoxyphenylsulfonyl glycyl hydroxamic acid"
DB08272	drugbank	(4S)-4-(2-NAPHTHYLMETHYL)-D-GLUTAMIC ACID	" 4s 4 2 naphthylmethyl d glutamic acid"
DB08273	drugbank	4-HYDROXY-5-IODO-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION	"4 hydroxy 5 iodo 3 nitrophenylacetyl epsilon aminocaproic acid anion"
DB08274	drugbank	6,7,8,9-TETRAHYDRO-4-HYDROXY-3-(1-PHENYLPROPYL)CYCLOHEPTA[B]PYRAN-2-ONE	"6 7 8 9 tetrahydro 4 hydroxy 3 1 phenylpropyl cyclohepta b pyran 2 one"
DB08275	drugbank	N-DODECANOYL-L-TYROSINE	"n dodecanoyl l tyrosine"
DB08276	drugbank	N-METHYL O-NITROPHENYL AMINOETHYLDIPHOSPHATE BERYLLIUM TRIFLUORIDE	"n methyl o nitrophenyl aminoethyldiphosphate beryllium trifluoride"
DB08277	drugbank	2-(2-CHLORO-4-FLUOROPHENOXY)-2-METHYL-N-[(1R,2S,3S,5S,7S)-5-(METHYLSULFONYL)-2-ADAMANTYL]PROPANAMIDE	"2 2 chloro 4 fluorophenoxy 2 methyl n 1r 2s 3s 5s 7s 5 methylsulfonyl 2 adamantyl propanamide"
DB08278	drugbank	1-(2-CYCLOPROPYLETHYL)-3-(1,1-DIOXIDO-2H-1,2,4-BENZOTHIADIAZIN-3-YL)-6-FLUORO-4-HYDROXYQUINOLIN-2(1H)-ONE	"1 2 cyclopropylethyl 3 1 1 dioxido 2h 1 2 4 benzothiadiazin 3 yl 6 fluoro 4 hydroxyquinolin 2 1h one"
DB08279	drugbank	3-{ISOPROPYL[(TRANS-4-METHYLCYCLOHEXYL)CARBONYL]AMINO}-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID	"3 isopropyl trans 4 methylcyclohexyl carbonyl amino 5 phenylthiophene 2 carboxylic acid"
DB08280	drugbank	(1S,3R,4S,5S,7S)-4-{[2-(4-METHOXYPHENOXY)-2-METHYLPROPANOYL]AMINO}ADAMANTANE-1-CARBOXAMIDE	" 1s 3r 4s 5s 7s 4 2 4 methoxyphenoxy 2 methylpropanoyl amino adamantane 1 carboxamide"
DB08281	drugbank	O-[2-(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)ethyl] (4-bromophenyl)thiocarbamate	"o 2 1 3 dioxo 1 3 dihydro 2h isoindol 2 yl ethyl 4 bromophenyl thiocarbamate"
DB08282	drugbank	O-[2-(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)ethyl] (4-chlorophenyl)thiocarbamate	"o 2 1 3 dioxo 1 3 dihydro 2h isoindol 2 yl ethyl 4 chlorophenyl thiocarbamate"
DB08283	drugbank	(2R,3R,4R,5S)-2-(HYDROXYMETHYL)-1-NONYLPIPERIDINE-3,4,5-TRIOL	" 2r 3r 4r 5s 2 hydroxymethyl 1 nonylpiperidine 3 4 5 triol"
DB08284	drugbank	O-[2-(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)ethyl] (4-iodophenyl)thiocarbamate	"o 2 1 3 dioxo 1 3 dihydro 2h isoindol 2 yl ethyl 4 iodophenyl thiocarbamate"
DB08285	drugbank	(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol	" 2r 2 4 benzylamino 8 1 methylethyl pyrazolo 1 5 a 1 3 5 triazin 2 yl amino butan 1 ol"
DB08286	drugbank	NAPHTHYLOXYACETIC ACID	"naphthyloxyacetic acid"
DB08287	drugbank	(1R,2R)-N-(2-AMINOETHYL)-2-{[(4-METHOXYPHENYL)SULFONYL]METHYL}CYCLOHEXANECARBOXAMIDE	" 1r 2r n 2 aminoethyl 2 4 methoxyphenyl sulfonyl methyl cyclohexanecarboxamide"
DB08288	drugbank	CYCLOHEXYL-NORSTATINE	"cyclohexyl norstatine"
DB08289	drugbank	N-(PARA-GLUTARAMIDOPHENYL-ETHYL)-PIPERIDINIUM-N-OXIDE	"n para glutaramidophenyl ethyl piperidinium n oxide"
DB08291	drugbank	N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	"n 3 aminopropyl 2 nitrobenzenamine"
DB08292	drugbank	(5Z)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE	" 5z 12 chloro 13 15 dihydroxy 4 7 8 9 tetrahydro 2 benzoxacyclotridecine 1 10 3h 11h dione"
DB08293	drugbank	(5E)-12-CHLORO-13,15-DIHYDROXY-4,7,8,9-TETRAHYDRO-2-BENZOXACYCLOTRIDECINE-1,10(3H,11H)-DIONE	" 5e 12 chloro 13 15 dihydroxy 4 7 8 9 tetrahydro 2 benzoxacyclotridecine 1 10 3h 11h dione"
DB08294	drugbank	2-(4-HYDROXY-3-NITROPHENYL)ACETIC ACID	"2 4 hydroxy 3 nitrophenyl acetic acid"
DB08295	drugbank	4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION	"4 hydroxy 3 nitrophenylacetyl epsilon aminocaproic acid anion"
DB08296	drugbank	5-(PARA-NITROPHENYL PHOSPHONATE)-PENTANOIC ACID	"5 para nitrophenyl phosphonate pentanoic acid"
DB08297	drugbank	ORTHONITROPHENYL-BETA-D-FUCOPYRANOSIDE	"orthonitrophenyl beta d fucopyranoside"
DB08298	drugbank	(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid	" 2s 2 6 methoxynaphthalen 2 yl propanoic acid"
DB08299	drugbank	4-[8-(3-nitrophenyl)-1,7-naphthyridin-6-yl]benzoic acid	"4 8 3 nitrophenyl 1 7 naphthyridin 6 yl benzoic acid"
DB08300	drugbank	1-methyl-3-naphthalen-2-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine	"1 methyl 3 naphthalen 2 yl 1h pyrazolo 3 4 d pyrimidin 4 amine"
DB08301	drugbank	N-({[4-(AMINOSULFONYL)PHENYL]AMINO}CARBONYL)-4-METHYLBENZENESULFONAMIDE	"n 4 aminosulfonyl phenyl amino carbonyl 4 methylbenzenesulfonamide"
DB08302	drugbank	3-[5-(2-nitropent-1-en-1-yl)furan-2-yl]benzoic acid	"3 5 2 nitropent 1 en 1 yl furan 2 yl benzoic acid"
DB08303	drugbank	(3S)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide	" 3s 3 cyclopentyl 6 methyl 7 4 methylpiperazin 1 yl sulfonyl 3 4 dihydro 2h 1 2 4 benzothiadiazine 1 1 dioxide"
DB08304	drugbank	(3R)-3-cyclopentyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide	" 3r 3 cyclopentyl 7 4 methylpiperazin 1 yl sulfonyl 3 4 dihydro 2h 1 2 benzothiazine 1 1 dioxide"
DB08305	drugbank	(3R)-3-cyclopentyl-6-methyl-7-[(4-methylpiperazin-1-yl)sulfonyl]-3,4-dihydro-2H-1,2-benzothiazine 1,1-dioxide	" 3r 3 cyclopentyl 6 methyl 7 4 methylpiperazin 1 yl sulfonyl 3 4 dihydro 2h 1 2 benzothiazine 1 1 dioxide"
DB08306	drugbank	3-{[(3-NITROANILINE]SULFONYL}THIOPHENE-2-CARBOXYLIC ACID	"3 3 nitroaniline sulfonyl thiophene 2 carboxylic acid"
DB08307	drugbank	2-{HYDROXY[2-NITRO-4-(TRIFLUOROMETHYL)PHENYL]METHYLENE}CYCLOHEXANE-1,3-DIONE	"2 hydroxy 2 nitro 4 trifluoromethyl phenyl methylene cyclohexane 1 3 dione"
DB08308	drugbank	SUCCINIC ACID MONO-(13-METHYL-3-OXO-2,3,6,7,8,9,10,11,12,13,14,15,16,17-TETRADECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-17-YL) ESTER	"succinic acid mono 13 methyl 3 oxo 2 3 6 7 8 9 10 11 12 13 14 15 16 17 tetradecahydro 1h cyclopenta a phenanthren 17 yl ester"
DB08309	drugbank	3-({2-[(4-{[6-(CYCLOHEXYLMETHOXY)-9H-PURIN-2-YL]AMINO}PHENYL)SULFONYL]ETHYL}AMINO)PROPAN-1-OL	"3 2 4 6 cyclohexylmethoxy 9h purin 2 yl amino phenyl sulfonyl ethyl amino propan 1 ol"
DB08310	drugbank	N-[(2R)-2-{[(2S)-2-(1,3-benzoxazol-2-yl)pyrrolidin-1-yl]carbonyl}hexyl]-N-hydroxyformamide	"n 2r 2 2s 2 1 3 benzoxazol 2 yl pyrrolidin 1 yl carbonyl hexyl n hydroxyformamide"
DB08312	drugbank	6-CYCLOHEXYLMETHYLOXY-5-NITROSO-PYRIMIDINE-2,4-DIAMINE	"6 cyclohexylmethyloxy 5 nitroso pyrimidine 2 4 diamine"
DB08313	drugbank	nocodazole	"nocodazole"
DB08314	drugbank	(2-AMINO-1,3-OXAZOL-5-YL)-(3-BROMOPHENYL)METHANONE	" 2 amino 1 3 oxazol 5 yl 3 bromophenyl methanone"
DB08315	drugbank	2-AMINO-N,N-BIS(PHENYLMETHYL)-1,3-OXAZOLE-5-CARBOXAMIDE	"2 amino n n bis phenylmethyl 1 3 oxazole 5 carboxamide"
DB08316	drugbank	4-amino-7,7-dimethyl-7,8-dihydroquinazolin-5(6H)-one	"4 amino 7 7 dimethyl 7 8 dihydroquinazolin 5 6h one"
DB08317	drugbank	5-methyl-6-phenylquinazoline-2,4-diamine	"5 methyl 6 phenylquinazoline 2 4 diamine"
DB08318	drugbank	6-(2-phenoxyethoxy)-1,3,5-triazine-2,4-diamine	"6 2 phenoxyethoxy 1 3 5 triazine 2 4 diamine"
DB08319	drugbank	2'-HYDROXY-1,1'-BIPHENYL-2-SULFINIC ACID	"2 hydroxy 1 1 biphenyl 2 sulfinic acid"
DB08320	drugbank	DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE	"diethyl 1r 2s 3r 4s 5 6 bis 4 hydroxyphenyl 7 oxabicyclo 2 2 1 hept 5 ene 2 3 dicarboxylate"
DB08321	drugbank	(1S,2S,3R,6R)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol	" 1s 2s 3r 6r 4 hydroxymethyl 6 octylamino cyclohex 4 ene 1 2 3 triol"
DB08322	drugbank	2-DEOXY-3,4-BIS-O-[3-(4-HYDROXYPHENYL)PROPANOYL]-L-THREO-PENTARIC ACID	"2 deoxy 3 4 bis o 3 4 hydroxyphenyl propanoyl l threo pentaric acid"
DB08323	drugbank	3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE	"3 oxo n 3s 2 oxopyrrolidin 3 yl dodecanamide"
DB08324	drugbank	N-3-OXO-DODECANOYL-L-HOMOSERINE LACTONE	"n 3 oxo dodecanoyl l homoserine lactone"
DB08325	drugbank	2-(2-HYDROXYETHYLAMINO)-6-(3-CHLOROANILINO)-9-ISOPROPYLPURINE	"2 2 hydroxyethylamino 6 3 chloroanilino 9 isopropylpurine"
DB08326	drugbank	2-(6-HYDROXY-1,3-BENZOTHIAZOL-2-YL)-1,3-THIAZOL-4(5H)-ONE	"2 6 hydroxy 1 3 benzothiazol 2 yl 1 3 thiazol 4 5h one"
DB08327	drugbank	2-(3,6-DIHYDROXYPHENYL)ACETIC ACID	"2 3 6 dihydroxyphenyl acetic acid"
DB08328	drugbank	PANTOTHENYL-AMINOETHANOL-11-PIVALIC ACID	"pantothenyl aminoethanol 11 pivalic acid"
DB08329	drugbank	SULTHIAME	"sulthiame"
DB08330	drugbank	METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	"methyl 2z 3 methoxy 2 2 e 2 phenylvinyl phenyl acrylate"
DB08331	drugbank	N-1H-imidazol-2-yl-N'-[4-(1H-imidazol-2-ylamino)phenyl]benzene-1,4-diamine	"n 1h imidazol 2 yl n 4 1h imidazol 2 ylamino phenyl benzene 1 4 diamine"
DB08332	drugbank	[2'-CARBOXYLETHYL]-10-METHYL-ANTHRACENE ENDOPEROXIDE	" 2 carboxylethyl 10 methyl anthracene endoperoxide"
DB08333	drugbank	4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME	"4 hydroxybenzaldehyde o cyclohexylcarbonyl oxime"
DB08334	drugbank	3-FLUORO-4-HYDROXYBENZALDEHYDE O-(CYCLOHEXYLCARBONYL)OXIME	"3 fluoro 4 hydroxybenzaldehyde o cyclohexylcarbonyl oxime"
DB08335	drugbank	4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME	"4 hydroxybenzaldehyde o 3 3 dimethylbutanoyl oxime"
DB08336	drugbank	TERT-BUTYL [(1R)-2-METHYL-1-(1,3,4-OXADIAZOL-2-YL)PROPYL]CARBAMATE	"tert butyl 1r 2 methyl 1 1 3 4 oxadiazol 2 yl propyl carbamate"
DB08337	drugbank	TERT-BUTYL [(1S)-2-METHYL-1-(1,3,4-OXADIAZOL-2-YL)PROPYL]CARBAMATE	"tert butyl 1s 2 methyl 1 1 3 4 oxadiazol 2 yl propyl carbamate"
DB08338	drugbank	19-(cyclopropylamino)-4,6,7,15-tetrahydro-5H-16,1-(azenometheno)-10,14-(metheno)pyrazolo[4,3-o][1,3,9]triazacyclohexadecin-8(9H)-one	"19 cyclopropylamino 4 6 7 15 tetrahydro 5h 16 1 azenometheno 10 14 metheno pyrazolo 4 3 o 1 3 9 triazacyclohexadecin 8 9h one"
DB08339	drugbank	6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE	"6 2 6 dichlorophenyl 2 3 hydroxymethyl phenyl amino 8 methylpyrido 2 3 d pyrimidin 7 8h one"
DB08340	drugbank	N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE	"n n diphenylpyrazolo 1 5 a 1 3 5 triazine 2 4 diamine"
DB08341	drugbank	4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide	"4 4 1r 2r 2 dimethylamino cyclopentyl amino 5 trifluoromethyl pyrimidin 2 yl amino n methylbenzenesulfonamide"
DB08342	drugbank	S-PALMITOYL-L-CYSTEINE	"s palmitoyl l cysteine"
DB08344	drugbank	4-chloro-N-(3-methoxypropyl)-N-[(3S)-1-(2-phenylethyl)piperidin-3-yl]benzamide	"4 chloro n 3 methoxypropyl n 3s 1 2 phenylethyl piperidin 3 yl benzamide"
DB08345	drugbank	4-(2-(1H-IMIDAZOL-4-YL)ETHYLAMINO)-2-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	"4 2 1h imidazol 4 yl ethylamino 2 phenylamino pyrazolo 1 5 a 1 3 5 triazine 8 carbonitrile"
DB08346	drugbank	(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE	" 5z 13 chloro 14 16 dihydroxy 3 4 7 8 9 10 hexahydro 1h 2 benzoxacyclotetradecine 1 11 12h dione"
DB08347	drugbank	4-{[(2S)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3H-indole-2-carbonitrile	"4 2s 3 tert butylamino 2 hydroxypropyl oxy 3h indole 2 carbonitrile"
DB08348	drugbank	N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE	"n~2~ n~2~ dimethyl n~1~ 6 oxo 5 6 dihydrophenanthridin 2 yl glycinamide"
DB08349	drugbank	N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide	"n cyclopropyl 3 1 2 4 difluorophenyl 7 methyl 6 oxo 6 7 dihydro 1h pyrazolo 3 4 b pyridin 4 yl amino 4 methylbenzamide"
DB08350	drugbank	5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE	"5 3 2 methoxyphenyl 1h pyrrolo 2 3 b pyridin 5 yl n n dimethylpyridine 3 carboxamide"
DB08351	drugbank	N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide	"n cyclopropyl 4 methyl 3 2 2 morpholin 4 ylethyl amino quinazolin 6 yl benzamide"
DB08352	drugbank	6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine	"6 4 2 fluorophenyl 1 3 oxazol 5 yl n 1 methylethyl 1 3 benzothiazol 2 amine"
DB08353	drugbank	2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	"2 cyclohexylmethylamino 4 phenylamino pyrazolo 1 5 a 1 3 5 triazine 8 carbonitrile"
DB08354	drugbank	2-(4-CHLOROBENZYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	"2 4 chlorobenzylamino 4 phenylamino pyrazolo 1 5 a 1 3 5 triazine 8 carbonitrile"
DB08355	drugbank	1-methyl-8-(phenylamino)-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxylic acid	"1 methyl 8 phenylamino 4 5 dihydro 1h pyrazolo 4 3 h quinazoline 3 carboxylic acid"
DB08356	drugbank	4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol	"4 4 4 methoxyphenyl 5 methyl 1h pyrazol 3 yl benzene 1 3 diol"
DB08357	drugbank	1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE	"1 ethoxy 2 2 ethoxyethoxy ethane"
DB08358	drugbank	2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE	"2 2 quinolin 3 ylpyridin 4 yl 1 5 6 7 tetrahydro 4h pyrrolo 3 2 c pyridin 4 one"
DB08359	drugbank	2-PHENYLAMINO-4-METHYL-5-ACETYL THIAZOLE	"2 phenylamino 4 methyl 5 acetyl thiazole"
DB08360	drugbank	2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	"2 4 ethylpiperazin 1 yl 4 phenylamino pyrazolo 1 5 a 1 3 5 triazine 8 carbonitrile"
DB08361	drugbank	2-{[(1R,2S)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide	"2 1r 2s 2 aminocyclohexyl amino 4 3 methylphenyl amino pyrimidine 5 carboxamide"
DB08362	drugbank	N-(3-(8-CYANO-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZIN-2-YLAMINO)PHENYL)ACETAMIDE	"n 3 8 cyano 4 phenylamino pyrazolo 1 5 a 1 3 5 triazin 2 ylamino phenyl acetamide"
DB08363	drugbank	1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine	"1 9 ethyl 9h carbazol 3 yl n methylmethanamine"
DB08364	drugbank	1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE	"1 1e 3 hydroxy 2 methyl 5 trihydroxy lambda^5^ phosphanyl oxy methyl pyridin 4 yl methylidene amino undecan 2 one"
DB08365	drugbank	8-bromo-4-(2-chlorophenyl)-N-(2-hydroxyethyl)-6-methyl-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-e]indole-7-carboxamide	"8 bromo 4 2 chlorophenyl n 2 hydroxyethyl 6 methyl 1 3 dioxo 1 2 3 6 tetrahydropyrrolo 3 4 e indole 7 carboxamide"
DB08366	drugbank	3-({3-[(1S,4aS,6S,7S,9S,9aR)-1,6-dimethyl-2-oxodecahydro-6,9-epoxy-4a,7-methanobenzo[7]annulen-1-yl]propanoyl}amino)-2,4-dihydroxybenzoic acid	"3 3 1s 4as 6s 7s 9s 9ar 1 6 dimethyl 2 oxodecahydro 6 9 epoxy 4a 7 methanobenzo 7 annulen 1 yl propanoyl amino 2 4 dihydroxybenzoic acid"
DB08367	drugbank	(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE	" r 2 formyloxy 3 phosphonooxy propyl pentanoate"
DB08368	drugbank	OCTANE-1,3,5,7-TETRACARBOXYLIC ACID	"octane 1 3 5 7 tetracarboxylic acid"
DB08369	drugbank	1-(biphenyl-4-ylmethyl)-1H-imidazole	"1 biphenyl 4 ylmethyl 1h imidazole"
DB08370	drugbank	S-(4-BROMOBENZYL)CYSTEINE	"s 4 bromobenzyl cysteine"
DB08371	drugbank	PARA-(BENZOYL)-PHENYLALANINE	"para benzoyl phenylalanine"
DB08372	drugbank	1-[2-(4-ETHOXY-3-FLUOROPYRIDIN-2-YL)ETHYL]-3-(5-METHYLPYRIDIN-2-YL)THIOUREA	"1 2 4 ethoxy 3 fluoropyridin 2 yl ethyl 3 5 methylpyridin 2 yl thiourea"
DB08373	drugbank	4,4'-BIS([H]METHYLSULFONYL)-2,2',5,5'-TETRACHLOROBIPHENYL	"4 4 bis h methylsulfonyl 2 2 5 5 tetrachlorobiphenyl"
DB08374	drugbank	PHENYLALANYLMETHYLCHLORIDE	"phenylalanylmethylchloride"
DB08375	drugbank	PCNOTAXIME GROUP	"pcnotaxime group"
DB08376	drugbank	(2R)-3-(phosphonooxy)propane-1,2-diyl diheptanoate	" 2r 3 phosphonooxy propane 1 2 diyl diheptanoate"
DB08377	drugbank	PARA-NITROPHENYL PHOSPHONOBUTANOYL D-ALANINE	"para nitrophenyl phosphonobutanoyl d alanine"
DB08378	drugbank	4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID	"4 4 2 5 dioxo pyrrolidin 1 yl phenylamino 4 hydroxy butyric acid"
DB08379	drugbank	6-(4-chloro-2-fluoro-3-phenoxybenzyl)pyridazin-3(2H)-one	"6 4 chloro 2 fluoro 3 phenoxybenzyl pyridazin 3 2h one"
DB08382	drugbank	2-(4-{(3S,5S)-5-[(3,3-difluoropyrrolidin-1-yl)carbonyl]pyrrolidin-3-yl}piperazin-1-yl)pyrimidine	"2 4 3s 5s 5 3 3 difluoropyrrolidin 1 yl carbonyl pyrrolidin 3 yl piperazin 1 yl pyrimidine"
DB08383	drugbank	4,5-bis(4-methoxyphenyl)-2-thiophen-2-yl-1H-imidazole	"4 5 bis 4 methoxyphenyl 2 thiophen 2 yl 1h imidazole"
DB08384	drugbank	2-({4-[4-(pyridin-4-ylmethyl)-1H-pyrazol-3-yl]phenoxy}methyl)quinoline	"2 4 4 pyridin 4 ylmethyl 1h pyrazol 3 yl phenoxy methyl quinoline"
DB08385	drugbank	4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid	"4 quinolin 3 ylmethyl piperidine 1 carboxylic acid"
DB08386	drugbank	2-{[4-(4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline	"2 4 4 pyridin 4 yl 1h pyrazol 3 yl phenoxy methyl quinoline"
DB08387	drugbank	2-{[4-(1-methyl-4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline	"2 4 1 methyl 4 pyridin 4 yl 1h pyrazol 3 yl phenoxy methyl quinoline"
